total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.7466666666666667,0.75,0.75
20,0,SVM,0.7466666666666667,0.75,0.15
20,0,KNN,0.44000000000000006,0.5,0.6
20,0,RF,0.7933333333333333,0.8,0.8
20,0,XGB,0.5866666666666667,0.6,0.7
20,1,LOGIS,0.5800000000000001,0.6,0.55
20,1,SVM,0.5800000000000001,0.6,0.1
20,1,KNN,0.5200000000000001,0.55,0.625
20,1,RF,0.8466666666666667,0.85,0.95
20,1,XGB,0.6933333333333334,0.7,0.85
20,2,LOGIS,0.6466666666666667,0.65,0.8
20,2,SVM,0.6866666666666668,0.7,0.65
20,2,KNN,0.7466666666666667,0.75,0.85
20,2,RF,0.64,0.65,0.8
20,2,XGB,0.6333333333333334,0.65,0.6
20,3,LOGIS,0.8466666666666667,0.85,0.9
20,3,SVM,0.8466666666666667,0.85,0.45
20,3,KNN,0.74,0.75,0.9
20,3,RF,0.8466666666666667,0.85,0.9
20,3,XGB,0.8933333333333333,0.9,0.9
20,4,LOGIS,0.4866666666666667,0.5,0.45
20,4,SVM,0.4666666666666666,0.5,0.45
20,4,KNN,0.5,0.55,0.625
20,4,RF,0.6933333333333334,0.7,0.75
20,4,XGB,0.6266666666666667,0.65,0.75
27,0,LOGIS,0.69,0.6933333333333334,0.7777777777777778
27,0,SVM,0.6154761904761905,0.6333333333333333,0.38888888888888895
27,0,KNN,0.5583333333333332,0.6266666666666667,0.5833333333333334
27,0,RF,0.7357142857142855,0.74,0.8444444444444444
27,0,XGB,0.6523809523809524,0.6599999999999999,0.7555555555555555
27,1,LOGIS,0.629047619047619,0.64,0.7
27,1,SVM,0.6485714285714286,0.6666666666666667,0.4888888888888888
27,1,KNN,0.5473809523809523,0.6266666666666667,0.611111111111111
27,1,RF,0.5438095238095239,0.5533333333333333,0.6111111111111112
27,1,XGB,0.4376190476190476,0.47333333333333333,0.6111111111111112
27,2,LOGIS,0.5757142857142856,0.58,0.7444444444444445
27,2,SVM,0.6914285714285715,0.7,0.7555555555555555
27,2,KNN,0.7107142857142856,0.7333333333333334,0.788888888888889
27,2,RF,0.6847619047619047,0.7,0.711111111111111
27,2,XGB,0.6490476190476189,0.66,0.5777777777777777
27,3,LOGIS,0.6633333333333333,0.68,0.6444444444444445
27,3,SVM,0.6328571428571428,0.6799999999999999,0.5555555555555556
27,3,KNN,0.5561904761904761,0.6,0.6888888888888889
27,3,RF,0.6685714285714285,0.6866666666666668,0.6
27,3,XGB,0.6247619047619046,0.6333333333333334,0.5
27,4,LOGIS,0.6333333333333332,0.64,0.5444444444444445
27,4,SVM,0.5138095238095237,0.56,0.4
27,4,KNN,0.5657142857142856,0.5933333333333334,0.5111111111111112
27,4,RF,0.4390476190476191,0.4533333333333333,0.4722222222222222
27,4,XGB,0.47333333333333333,0.49333333333333335,0.5777777777777777
33,0,LOGIS,0.6102380952380952,0.619047619047619,0.6555555555555557
33,0,SVM,0.525952380952381,0.5428571428571429,0.4027777777777778
33,0,KNN,0.6704761904761904,0.6904761904761905,0.736111111111111
33,0,RF,0.6554761904761904,0.6619047619047619,0.638888888888889
33,0,XGB,0.6826190476190476,0.6952380952380952,0.8
33,1,LOGIS,0.5657142857142856,0.5761904761904761,0.6611111111111112
33,1,SVM,0.7364285714285714,0.7476190476190475,0.5611111111111111
33,1,KNN,0.7143650793650794,0.7285714285714285,0.7333333333333332
33,1,RF,0.6197619047619047,0.6333333333333333,0.625
33,1,XGB,0.5614285714285714,0.5666666666666667,0.65
33,2,LOGIS,0.7564285714285713,0.761904761904762,0.8222222222222222
33,2,SVM,0.718095238095238,0.7285714285714285,0.8055555555555556
33,2,KNN,0.6883333333333332,0.7,0.825
33,2,RF,0.7861904761904761,0.7904761904761906,0.7749999999999999
33,2,XGB,0.6845238095238095,0.6857142857142857,0.7166666666666666
33,3,LOGIS,0.5631746031746031,0.5761904761904761,0.5722222222222223
33,3,SVM,0.5264285714285715,0.5476190476190476,0.45
33,3,KNN,0.5492857142857142,0.5714285714285714,0.6027777777777776
33,3,RF,0.5271428571428571,0.5476190476190477,0.513888888888889
33,3,XGB,0.42484126984126985,0.45714285714285713,0.4833333333333333
33,4,LOGIS,0.6871428571428572,0.6904761904761905,0.6777777777777778
33,4,SVM,0.6192857142857143,0.6285714285714286,0.3
33,4,KNN,0.6057142857142856,0.6333333333333334,0.6777777777777778
33,4,RF,0.6490476190476191,0.6571428571428571,0.6666666666666667
33,4,XGB,0.6095238095238095,0.6095238095238095,0.6444444444444445
40,0,LOGIS,0.4976190476190476,0.5,0.525
40,0,SVM,0.6341558441558443,0.65,0.4
40,0,KNN,0.6622222222222223,0.675,0.75
40,0,RF,0.6680952380952381,0.675,0.7375
40,0,XGB,0.657012987012987,0.675,0.7375
40,1,LOGIS,0.7484126984126984,0.75,0.7875
40,1,SVM,0.6876190476190477,0.7,0.58125
40,1,KNN,0.6191486291486292,0.65,0.69375
40,1,RF,0.7492063492063492,0.75,0.81875
40,1,XGB,0.5952380952380952,0.6,0.69375
40,2,LOGIS,0.6409523809523809,0.65,0.575
40,2,SVM,0.6376190476190476,0.65,0.4
40,2,KNN,0.5774891774891776,0.6,0.65
40,2,RF,0.6655555555555556,0.675,0.6875
40,2,XGB,0.6460317460317461,0.65,0.6
40,3,LOGIS,0.696031746031746,0.7,0.7125
40,3,SVM,0.617936507936508,0.625,0.7
40,3,KNN,0.5276190476190477,0.55,0.6625
40,3,RF,0.6704761904761904,0.675,0.7625
40,3,XGB,0.7222222222222222,0.725,0.6125
40,4,LOGIS,0.6746031746031746,0.675,0.7125
40,4,SVM,0.7212698412698413,0.725,0.6
40,4,KNN,0.547936507936508,0.575,0.7125
40,4,RF,0.6746031746031746,0.675,0.7625
40,4,XGB,0.6976190476190476,0.7,0.7125
47,0,LOGIS,0.7216378066378066,0.7266666666666667,0.792
47,0,SVM,0.7393145743145743,0.7466666666666666,0.742
47,0,KNN,0.7239898989898991,0.7266666666666666,0.7979999999999999
47,0,RF,0.7443939393939394,0.7488888888888888,0.8379999999999999
47,0,XGB,0.8275757575757577,0.8288888888888888,0.8539999999999999
47,1,LOGIS,0.7261616161616161,0.7288888888888888,0.8540000000000001
47,1,SVM,0.7677777777777777,0.7688888888888888,0.8300000000000001
47,1,KNN,0.7000832500832501,0.7244444444444443,0.7470000000000001
47,1,RF,0.7455555555555555,0.7511111111111111,0.818
47,1,XGB,0.6573232323232323,0.6599999999999999,0.7
47,2,LOGIS,0.6708441558441558,0.6777777777777778,0.7520000000000001
47,2,SVM,0.6719047619047619,0.6799999999999999,0.7540000000000001
47,2,KNN,0.6908441558441558,0.7,0.775
47,2,RF,0.7199062049062049,0.7222222222222222,0.736
47,2,XGB,0.6093939393939394,0.6155555555555555,0.7380000000000001
47,3,LOGIS,0.5711832611832611,0.5777777777777777,0.6220000000000001
47,3,SVM,0.6133838383838384,0.6177777777777778,0.32199999999999995
47,3,KNN,0.7426839826839826,0.7488888888888888,0.7939999999999999
47,3,RF,0.5921933621933622,0.5977777777777777,0.6910000000000001
47,3,XGB,0.4877272727272727,0.49111111111111105,0.53
47,4,LOGIS,0.8024458874458874,0.8066666666666666,0.8800000000000001
47,4,SVM,0.7197691197691197,0.7244444444444443,0.8160000000000001
47,4,KNN,0.7323559773559774,0.7488888888888888,0.8380000000000001
47,4,RF,0.8424458874458874,0.8466666666666667,0.8450000000000001
47,4,XGB,0.8075252525252525,0.8088888888888889,0.8879999999999999
54,0,LOGIS,0.7565889665889666,0.76,0.8213333333333332
54,0,SVM,0.666060606060606,0.6672727272727272,0.7613333333333333
