total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.6266666666666667,0.65,0.7
20,0,SVM,0.6933333333333334,0.7,0.4
20,0,KNN,0.6333333333333334,0.65,0.775
20,0,RF,0.68,0.7,0.775
20,0,XGB,0.42666666666666664,0.45,0.55
20,1,LOGIS,0.6333333333333334,0.65,0.8
20,1,SVM,0.6,0.65,0.7
20,1,KNN,0.49333333333333335,0.6,0.65
20,1,RF,0.5866666666666667,0.6,0.75
20,1,XGB,0.5866666666666667,0.6,0.6
20,2,LOGIS,1.0,1.0,1.0
20,2,SVM,1.0,1.0,1.0
20,2,KNN,0.4133333333333334,0.55,0.925
20,2,RF,0.9466666666666667,0.95,1.0
20,2,XGB,0.7466666666666667,0.75,0.75
20,3,LOGIS,0.5800000000000001,0.6,0.7
20,3,SVM,0.6266666666666667,0.65,0.25
20,3,KNN,0.5,0.55,0.425
20,3,RF,0.5533333333333333,0.6,0.8
20,3,XGB,0.6466666666666667,0.65,0.7
20,4,LOGIS,0.5466666666666666,0.55,0.7
20,4,SVM,0.5866666666666667,0.6,0.35
20,4,KNN,0.4800000000000001,0.5,0.575
20,4,RF,0.74,0.75,0.85
20,4,XGB,0.8466666666666667,0.85,0.85
109,0,LOGIS,0.9079550159984942,0.9082251082251084,0.9831404958677685
109,0,SVM,0.8215141612200435,0.8255411255411256,0.8877685950413223
109,0,KNN,0.7338076416337287,0.7346320346320345,0.8272727272727274
109,0,RF,0.8341794704151683,0.8350649350649351,0.8865289256198349
109,0,XGB,0.8057553369589983,0.8082251082251084,0.877190082644628
109,1,LOGIS,0.9264308003209607,0.9268398268398268,0.9571900826446281
109,1,SVM,0.9258971704623878,0.9264069264069266,0.963801652892562
109,1,KNN,0.7382270069112175,0.741991341991342,0.862396694214876
109,1,RF,0.8882323232323233,0.8891774891774892,0.9516528925619834
109,1,XGB,0.8983778781604869,0.8991341991341992,0.9259504132231406
109,2,LOGIS,0.8812723508375683,0.8813852813852814,0.9454545454545455
109,2,SVM,0.8608325358851674,0.8627705627705629,0.9087603305785124
109,2,KNN,0.8158590052205612,0.8173160173160173,0.9028925619834711
109,2,RF,0.8523526064578697,0.8541125541125542,0.9180165289256198
109,2,XGB,0.8345454545454546,0.8354978354978355,0.887603305785124
109,3,LOGIS,0.8889421280473911,0.8896103896103895,0.9446280991735538
109,3,SVM,0.8882514919011083,0.8896103896103895,0.9454545454545455
