source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,observed,20.0,0.6613333333333333,0.1405070184091251,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,27.0,0.6382857142857142,0.042798372402138254,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,33.0,0.6365396825396825,0.08370255694904735,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,40.0,0.6515238095238095,0.09447155806615404,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,47.0,0.6984545454545454,0.08526379359071137,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,54.0,0.6914156954156955,0.0547861188272861,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,60.0,0.7279480519480519,0.05832285364091844,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,67.0,0.655614594555771,0.029821678983865747,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,74.0,0.7237884794943619,0.05027816206872401,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,81.0,0.6915281586318738,0.03440040196767728,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,87.0,0.7107305140679754,0.03385236664043685,,,5.0,fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | DESeq | offaug_none | CVAE1-100
