total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.9,0.9,0.9
20,0,SVM,0.8933333333333333,0.9,1.0
20,0,KNN,0.7933333333333333,0.8,0.825
20,0,RF,0.8466666666666667,0.85,0.95
20,0,XGB,0.8466666666666667,0.85,0.85
20,1,LOGIS,1.0,1.0,1.0
20,1,SVM,0.8933333333333333,0.9,0.95
20,1,KNN,0.7333333333333334,0.75,0.825
20,1,RF,0.9466666666666667,0.95,0.95
20,1,XGB,0.9466666666666667,0.95,0.95
20,2,LOGIS,0.8400000000000001,0.85,0.85
20,2,SVM,0.7866666666666667,0.8,0.7
20,2,KNN,0.7,0.7,0.675
20,2,RF,0.7866666666666667,0.8,0.7
20,2,XGB,0.6866666666666668,0.7,0.7
20,3,LOGIS,0.9466666666666667,0.95,0.95
20,3,SVM,0.6933333333333334,0.7,0.85
20,3,KNN,0.7466666666666667,0.75,0.8
20,3,RF,1.0,1.0,1.0
20,3,XGB,0.9466666666666667,0.95,0.95
20,4,LOGIS,0.9466666666666667,0.95,0.95
20,4,SVM,0.8933333333333333,0.9,0.95
20,4,KNN,0.8466666666666667,0.85,0.9
20,4,RF,0.9,0.9,0.95
20,4,XGB,0.7333333333333334,0.75,0.75
109,0,LOGIS,0.9908902691511386,0.990909090909091,1.0
109,0,SVM,0.9544889892715979,0.9545454545454547,0.9950413223140495
109,0,KNN,0.8814596273291926,0.8818181818181818,0.9661157024793388
109,0,RF,0.9817805383022774,0.9818181818181818,0.9966942148760332
109,0,XGB,0.9817805383022774,0.9818181818181818,0.9958677685950412
109,1,LOGIS,0.9908902691511386,0.990909090909091,1.0
109,1,SVM,0.9532263630089716,0.9536796536796537,0.9947107438016529
109,1,KNN,0.9255045221750027,0.925974025974026,0.9638842975206611
109,1,RF,0.9721695543205839,0.9722943722943723,0.9981818181818183
109,1,XGB,0.935132693393563,0.9354978354978355,0.9981818181818183
109,2,LOGIS,1.0,1.0,1.0
109,2,SVM,0.9904761904761905,0.9904761904761905,1.0
109,2,KNN,0.9175597590814982,0.9177489177489179,0.9790082644628099
109,2,RF,1.0,1.0,1.0
109,2,XGB,0.9722567287784679,0.9722943722943723,0.9727272727272727
109,3,LOGIS,0.9634472049689441,0.9636363636363636,1.0
109,3,SVM,0.9726708074534163,0.9727272727272727,0.9933884297520661
109,3,KNN,0.9267080745341614,0.9268398268398268,0.9734710743801653
109,3,RF,0.9817805383022774,0.9818181818181818,0.9983471074380166
109,3,XGB,0.9817805383022774,0.9818181818181818,0.990909090909091
109,4,LOGIS,0.9726708074534163,0.9727272727272727,0.9983471074380166
109,4,SVM,0.9545266327875023,0.9545454545454547,0.9966942148760332
109,4,KNN,0.925879917184265,0.925974025974026,0.9606611570247935
109,4,RF,0.9635987201204592,0.9636363636363636,0.9983471074380166
109,4,XGB,0.9722567287784679,0.9722943722943723,0.9834710743801655
199,0,LOGIS,1.0,1.0,1.0
199,0,SVM,0.9799874921826142,0.9800000000000001,0.9984999999999999
199,0,KNN,0.9346648281115547,0.9347435897435898,0.9887236842105264
199,0,RF,0.9748404783064604,0.9748717948717948,0.9969473684210526
199,0,XGB,0.984865540963102,0.9848717948717949,0.9989736842105262
199,1,LOGIS,0.9849718103890119,0.985,0.9995
199,1,SVM,0.9699120207514988,0.97,0.9964999999999999
199,1,KNN,0.944714953424838,0.9447435897435899,0.9798947368421052
199,1,RF,0.969993746091307,0.97,0.9975000000000002
199,1,XGB,0.974865540963102,0.974871794871795,0.9967500000000001
199,2,LOGIS,0.9949968730456537,0.9949999999999999,1.0
199,2,SVM,0.9899937460913071,0.99,0.9995
199,2,KNN,0.954714953424838,0.9547435897435899,0.9868815789473684
199,2,RF,0.9798686679174484,0.9798717948717949,0.9989736842105262
199,2,XGB,0.9748655409631019,0.9748717948717948,0.994171052631579
199,3,LOGIS,0.9949968730456537,0.9949999999999999,1.0
199,3,SVM,0.9848520189983605,0.9848717948717949,0.9994736842105263
199,3,KNN,0.9140273761326393,0.9141025641025641,0.9767894736842105
199,3,RF,0.9748269563417189,0.9748717948717948,1.0
199,3,XGB,0.9748520189983605,0.9748717948717948,0.9979736842105265
