total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.7933333333333333,0.8,0.9
20,0,SVM,0.7466666666666667,0.75,0.2
20,0,KNN,0.6333333333333334,0.65,0.75
20,0,RF,0.64,0.65,0.6
20,0,XGB,0.4866666666666667,0.5,0.55
20,1,LOGIS,0.38666666666666666,0.4,0.4
20,1,SVM,0.2866666666666667,0.3,0.65
20,1,KNN,0.3466666666666666,0.4,0.4
20,1,RF,0.4333333333333334,0.45,0.35
20,1,XGB,0.5466666666666666,0.55,0.4
20,2,LOGIS,0.27999999999999997,0.3,0.25
20,2,SVM,0.38666666666666666,0.45,0.55
20,2,KNN,0.33333333333333337,0.4,0.425
20,2,RF,0.5266666666666666,0.55,0.4
20,2,XGB,0.2866666666666667,0.3,0.2
20,3,LOGIS,0.4866666666666667,0.5,0.4
20,3,SVM,0.42666666666666664,0.45,0.5
20,3,KNN,0.36,0.45,0.575
20,3,RF,0.38,0.4,0.45
20,3,XGB,0.42666666666666664,0.45,0.475
20,4,LOGIS,0.5866666666666667,0.6,0.55
20,4,SVM,0.5666666666666667,0.6,0.5
20,4,KNN,0.5000000000000001,0.55,0.55
20,4,RF,0.5266666666666666,0.55,0.45
20,4,XGB,0.4133333333333334,0.45,0.3
27,0,LOGIS,0.7247619047619047,0.7333333333333334,0.8444444444444444
27,0,SVM,0.8107142857142857,0.82,0.9
27,0,KNN,0.6316666666666666,0.6733333333333333,0.7666666666666667
27,0,RF,0.819047619047619,0.82,0.8333333333333334
27,0,XGB,0.7071428571428571,0.7133333333333334,0.7777777777777778
27,1,LOGIS,0.58,0.5866666666666667,0.5333333333333334
27,1,SVM,0.2833333333333333,0.31999999999999995,0.48888888888888893
27,1,KNN,0.507142857142857,0.5133333333333333,0.5222222222222223
27,1,RF,0.4883333333333333,0.5066666666666666,0.4333333333333334
27,1,XGB,0.5438095238095239,0.5533333333333333,0.47777777777777786
27,2,LOGIS,0.4966666666666666,0.5066666666666666,0.4
27,2,SVM,0.4242857142857142,0.44000000000000006,0.45555555555555555
27,2,KNN,0.5652380952380951,0.5866666666666668,0.5333333333333334
27,2,RF,0.49714285714285705,0.5133333333333334,0.47777777777777786
27,2,XGB,0.5876190476190475,0.6,0.6666666666666667
27,3,LOGIS,0.6919047619047619,0.7066666666666668,0.7222222222222222
27,3,SVM,0.5533333333333332,0.5866666666666667,0.2888888888888889
27,3,KNN,0.5752380952380951,0.5866666666666667,0.6277777777777778
27,3,RF,0.7280952380952381,0.7333333333333334,0.7777777777777778
27,3,XGB,0.7947619047619048,0.8066666666666669,0.8722222222222223
27,4,LOGIS,0.6157142857142857,0.6266666666666667,0.5444444444444445
27,4,SVM,0.5845238095238094,0.6266666666666667,0.5888888888888889
27,4,KNN,0.3780952380952381,0.44666666666666666,0.5277777777777779
27,4,RF,0.6490476190476189,0.66,0.7277777777777777
27,4,XGB,0.8583333333333332,0.8666666666666666,0.9444444444444444
33,0,LOGIS,0.6292857142857142,0.638095238095238,0.5944444444444444
33,0,SVM,0.6307142857142856,0.6428571428571428,0.4305555555555555
33,0,KNN,0.5783333333333334,0.6095238095238095,0.6250000000000001
33,0,RF,0.5626190476190476,0.5809523809523809,0.5666666666666668
33,0,XGB,0.6,0.6285714285714286,0.6555555555555556
33,1,LOGIS,0.4638095238095238,0.4714285714285714,0.5166666666666667
33,1,SVM,0.5823809523809522,0.6047619047619048,0.23888888888888887
33,1,KNN,0.5998412698412698,0.6285714285714286,0.6222222222222222
33,1,RF,0.5609523809523809,0.5714285714285714,0.5472222222222222
33,1,XGB,0.5601587301587301,0.5761904761904763,0.5444444444444445
33,2,LOGIS,0.513095238095238,0.5142857142857143,0.4777777777777777
33,2,SVM,0.5711904761904762,0.5809523809523809,0.3277777777777778
33,2,KNN,0.549047619047619,0.5857142857142856,0.6138888888888888
33,2,RF,0.6369047619047619,0.638095238095238,0.7388888888888889
33,2,XGB,0.5176190476190475,0.5238095238095238,0.5222222222222224
33,3,LOGIS,0.6121428571428571,0.6142857142857142,0.6888888888888889
33,3,SVM,0.6073809523809522,0.6142857142857143,0.34444444444444444
33,3,KNN,0.5576984126984127,0.5761904761904761,0.6166666666666666
33,3,RF,0.6126984126984126,0.6333333333333333,0.5944444444444444
33,3,XGB,0.4078571428571428,0.41904761904761906,0.42777777777777776
33,4,LOGIS,0.6095238095238095,0.6285714285714286,0.7333333333333334
33,4,SVM,0.6964285714285714,0.7142857142857143,0.8166666666666668
33,4,KNN,0.559047619047619,0.6047619047619047,0.7861111111111111
33,4,RF,0.6678571428571428,0.6857142857142857,0.7166666666666668
33,4,XGB,0.4280952380952381,0.4523809523809524,0.45555555555555555
40,0,LOGIS,0.6976190476190476,0.7,0.7
40,0,SVM,0.590952380952381,0.6,0.65625
40,0,KNN,0.514891774891775,0.55,0.55625
40,0,RF,0.6934920634920635,0.7,0.725
40,0,XGB,0.6206349206349207,0.625,0.7125
40,1,LOGIS,0.5476190476190477,0.55,0.5375
40,1,SVM,0.5334920634920636,0.55,0.45625
40,1,KNN,0.5866666666666667,0.6,0.675
40,1,RF,0.5604761904761906,0.575,0.60625
40,1,XGB,0.5714285714285714,0.575,0.54375
40,2,LOGIS,0.6714285714285715,0.675,0.7875
40,2,SVM,0.7238095238095238,0.725,0.6375
40,2,KNN,0.75,0.75,0.74375
40,2,RF,0.6984126984126984,0.7,0.75
40,2,XGB,0.6484126984126984,0.65,0.6625
40,3,LOGIS,0.6484126984126984,0.65,0.6375
40,3,SVM,0.5952380952380952,0.6,0.3
40,3,KNN,0.5476190476190477,0.55,0.55
40,3,RF,0.5942857142857143,0.6,0.61875
40,3,XGB,0.641904761904762,0.65,0.7
40,4,LOGIS,0.6198412698412699,0.625,0.6125
40,4,SVM,0.746031746031746,0.75,0.4625
40,4,KNN,0.6706349206349207,0.675,0.6375
40,4,RF,0.6976190476190476,0.7,0.70625
40,4,XGB,0.6214285714285714,0.625,0.725
47,0,LOGIS,0.7016666666666667,0.7022222222222222,0.68
47,0,SVM,0.6993939393939393,0.7,0.45199999999999996
47,0,KNN,0.6564502164502164,0.6622222222222222,0.6789999999999999
47,0,RF,0.6755050505050504,0.6777777777777778,0.719
47,0,XGB,0.5683838383838384,0.5733333333333333,0.6079999999999999
47,1,LOGIS,0.6138600288600288,0.6199999999999999,0.632
47,1,SVM,0.531082251082251,0.5355555555555556,0.54
47,1,KNN,0.49565656565656563,0.5333333333333334,0.5469999999999999
47,1,RF,0.615050505050505,0.6177777777777778,0.5900000000000001
47,1,XGB,0.6150505050505051,0.6177777777777778,0.732
47,2,LOGIS,0.7805122655122655,0.7822222222222222,0.852
47,2,SVM,0.7797546897546896,0.7844444444444444,0.842
47,2,KNN,0.6894083694083694,0.7,0.7290000000000001
47,2,RF,0.8222438672438672,0.8266666666666668,0.866
47,2,XGB,0.8661111111111112,0.8666666666666666,0.9
