total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.6466666666666667,0.65,0.65
20,0,SVM,0.54,0.55,0.1
20,0,KNN,0.68,0.7,0.625
20,0,RF,0.6466666666666667,0.65,0.75
20,0,XGB,0.7466666666666667,0.75,0.8
20,1,LOGIS,0.6933333333333334,0.7,0.7
20,1,SVM,0.6133333333333334,0.65,0.1
20,1,KNN,0.47333333333333333,0.55,0.575
20,1,RF,0.6866666666666668,0.7,0.675
20,1,XGB,0.6466666666666667,0.65,0.75
20,2,LOGIS,0.6866666666666668,0.7,0.65
20,2,SVM,0.6533333333333333,0.7,0.55
20,2,KNN,0.5466666666666666,0.6,0.725
20,2,RF,0.68,0.7,0.65
20,2,XGB,0.68,0.7,0.8
20,3,LOGIS,0.6933333333333334,0.7,0.85
20,3,SVM,0.47333333333333344,0.5,0.4
20,3,KNN,0.64,0.65,0.625
20,3,RF,0.5333333333333334,0.55,0.65
20,3,XGB,0.49333333333333335,0.5,0.5
20,4,LOGIS,0.6866666666666668,0.7,0.75
20,4,SVM,0.8,0.8,0.65
20,4,KNN,0.6866666666666668,0.7,0.725
20,4,RF,0.8466666666666667,0.85,0.75
20,4,XGB,0.7933333333333333,0.8,0.9
109,0,LOGIS,0.8530773574251835,0.8532467532467531,0.9080991735537192
109,0,SVM,0.8063023170574658,0.8069264069264068,0.9054545454545455
109,0,KNN,0.7570082754225977,0.7610389610389611,0.8331404958677686
109,0,RF,0.8437061032026707,0.8441558441558442,0.8840495867768595
109,0,XGB,0.7975908149821194,0.7978354978354979,0.8743801652892562
109,1,LOGIS,0.8248757522670566,0.8264069264069264,0.8568595041322314
109,1,SVM,0.8050484298310387,0.8073593073593074,0.872396694214876
109,1,KNN,0.732936194240542,0.7346320346320347,0.7955371900826446
109,1,RF,0.7699435347261434,0.770995670995671,0.8401652892561984
109,1,XGB,0.7672285890525222,0.7714285714285715,0.7995041322314049
109,2,LOGIS,0.8899651797477883,0.8904761904761905,0.9284297520661158
109,2,SVM,0.8059173229516479,0.8069264069264068,0.8740495867768596
109,2,KNN,0.7202795170758557,0.7242424242424242,0.7739669421487603
109,2,RF,0.7504383742370011,0.7523809523809524,0.8424793388429752
109,2,XGB,0.7782279073583421,0.78008658008658,0.8414876033057851
109,3,LOGIS,0.8344325239977415,0.8346320346320347,0.9229752066115701
109,3,SVM,0.8235602104480823,0.825974025974026,0.9036363636363636
109,3,KNN,0.7599537381001912,0.7619047619047619,0.8304958677685951
109,3,RF,0.7965665976535542,0.7982683982683982,0.9001652892561983
109,3,XGB,0.7319894598155468,0.7337662337662337,0.8216528925619835
109,4,LOGIS,0.8804743083003952,0.880952380952381,0.9411570247933885
109,4,SVM,0.898143401983219,0.8995670995670995,0.9467768595041323
109,4,KNN,0.8514840714840716,0.8528138528138529,0.9158677685950414
109,4,RF,0.8985111748155227,0.9,0.9487603305785124
109,4,XGB,0.862073216638434,0.8623376623376624,0.9276033057851241
199,0,LOGIS,0.8840964199115676,0.8846153846153847,0.9519210526315789
199,0,SVM,0.8184897936696606,0.8191025641025641,0.9178684210526317
