total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.9,0.9,0.95
20,0,SVM,0.7933333333333333,0.8,0.35
20,0,KNN,0.74,0.75,0.775
20,0,RF,0.8400000000000001,0.85,0.95
20,0,XGB,0.8933333333333333,0.9,0.95
20,1,LOGIS,0.8400000000000001,0.85,0.85
20,1,SVM,0.7933333333333333,0.8,0.85
20,1,KNN,0.6133333333333333,0.65,0.725
20,1,RF,1.0,1.0,1.0
20,1,XGB,0.9466666666666667,0.95,0.95
20,2,LOGIS,0.9,0.9,0.95
20,2,SVM,0.8933333333333333,0.9,0.95
20,2,KNN,0.8400000000000001,0.85,0.875
20,2,RF,1.0,1.0,1.0
20,2,XGB,0.8933333333333333,0.9,0.9
20,3,LOGIS,1.0,1.0,1.0
20,3,SVM,1.0,1.0,1.0
20,3,KNN,0.9466666666666667,0.95,1.0
20,3,RF,1.0,1.0,1.0
20,3,XGB,1.0,1.0,1.0
20,4,LOGIS,0.9,0.9,0.9
20,4,SVM,0.7933333333333333,0.8,0.8
20,4,KNN,0.74,0.75,0.725
20,4,RF,0.9,0.9,0.9
20,4,XGB,0.8466666666666667,0.85,0.85
109,0,LOGIS,1.0,1.0,1.0
109,0,SVM,0.9722071978364883,0.9722943722943723,0.9879338842975207
109,0,KNN,0.8514340693631312,0.8523809523809524,0.9342148760330579
109,0,RF,0.9626896292113682,0.9627705627705628,0.9907438016528927
109,0,XGB,0.9536175418784115,0.9536796536796537,0.9894214876033057
109,1,LOGIS,0.9726708074534163,0.9727272727272727,0.9966942148760332
109,1,SVM,0.9452277432712215,0.9454545454545453,0.9966942148760332
109,1,KNN,0.8520411304942197,0.8528138528138529,0.9393388429752066
109,1,RF,0.9818181818181818,0.9818181818181818,0.9933884297520661
109,1,XGB,0.9444701675136458,0.9445887445887446,0.9826446280991735
109,2,LOGIS,0.9543751176359873,0.9545454545454547,0.9867768595041323
109,2,SVM,0.935101613362483,0.9363636363636363,0.975206611570248
109,2,KNN,0.789262187088274,0.79004329004329,0.8918181818181818
109,2,RF,0.917088531605694,0.9177489177489179,0.9702479338842973
109,2,XGB,0.9452653867871259,0.9454545454545455,0.990909090909091
109,3,LOGIS,1.0,1.0,1.0
109,3,SVM,0.9630331262939957,0.9632034632034632,0.9948760330578514
109,3,KNN,0.8789968003011481,0.8792207792207792,0.9407438016528925
109,3,RF,0.9625757575757575,0.9627705627705628,1.0
109,3,XGB,0.9438754990242405,0.9441558441558442,0.9904132231404958
109,4,LOGIS,0.9721695543205839,0.9722943722943723,0.9981818181818183
109,4,SVM,0.9447264901383894,0.945021645021645,0.9884297520661157
109,4,KNN,0.8697920945060533,0.8714285714285713,0.8937190082644628
109,4,RF,0.9726708074534163,0.9727272727272727,0.9966942148760332
109,4,XGB,0.9362695275738755,0.9363636363636363,0.9809917355371901
199,0,LOGIS,0.99,0.99,0.9964999999999999
199,0,SVM,0.9698561601000625,0.9698717948717949,0.9949736842105263
199,0,KNN,0.9395496245303692,0.9396153846153845,0.978
199,0,RF,0.9599686834346656,0.9600000000000002,0.9907499999999999
199,0,XGB,0.9599937460913072,0.9600000000000002,0.99225
199,1,LOGIS,1.0,1.0,1.0
199,1,SVM,0.954820702433026,0.9548717948717949,0.9954736842105263
199,1,KNN,0.9244408685657156,0.9247435897435897,0.9806447368421054
