source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,observed,20.0,0.5066666666666666,0.19669491322575908,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,27.0,0.6218095238095238,0.09077232239218987,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,33.0,0.5655714285714286,0.07292025744317028,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,40.0,0.636984126984127,0.05760559989995511,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,47.0,0.6716363636363637,0.0830039733582234,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,54.0,0.7107505827505827,0.039201147531404225,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,60.0,0.6871182151182151,0.0582098902827774,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,67.0,0.6908778998778999,0.02114072673972482,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,74.0,0.6951858435681965,0.03166910794013849,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,81.0,0.7148228697686901,0.031219077488742336,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,87.0,0.7206727603322031,0.04620296775380295,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,94.0,0.7094423603572211,0.06711929266351822,,,5.0,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,20.0,0.5126070235632127,,0.30544392178181956,0.7197701253446059,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,20.747474747474747,0.5222056856470964,,0.32990332648838405,0.7145080448058087,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,21.494949494949495,0.5311275344088366,,0.35214895906408195,0.7101061097535913,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,22.242424242424242,0.5394414233092111,,0.3724540681096392,0.7064287785087829,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,22.98989898989899,0.5472071912995068,,0.3910501150111327,0.7033642675878808,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,23.737373737373737,0.554477089608272,,0.4081342225665584,0.7008199566499856,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,24.484848484848484,0.5612969460552105,,0.42387520309342497,0.6987186890169961,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,25.232323232323232,0.5677071215190681,,0.4384183364488312,0.696995906589305,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,25.97979797979798,0.5737433005731907,,0.45188928738954526,0.6955973137568361,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,26.727272727272727,0.5794371488727835,,0.4643971948561126,0.6944771028894544,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,27.474747474747474,0.5848168627635464,,0.47603742186911685,0.693596303657976,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,28.22222222222222,0.589907631167563,,0.48689352287502363,0.6929217394601023,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,28.96969696969697,0.5947320256492273,,0.49703856024900195,0.6924254910494527,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,29.717171717171716,0.5993103313537023,,0.5065374039117839,0.6920832587956206,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,30.464646464646464,0.6036608290110138,,0.5154474765522074,0.6918741814698203,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,31.21212121212121,0.6078000362397281,,0.5238196897585634,0.6917803827208928,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,31.95959595959596,0.6117429148385543,,0.5316992303332589,0.6917865993438496,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,32.707070707070706,0.615503049527427,,0.5391268970800178,0.6918792019748361,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,33.45454545454545,0.6190928026202229,,0.5461387922581499,0.692046812982296,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,34.2020202020202,0.622523448325062,,0.5527677297335826,0.6922791669165415,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,34.94949494949495,0.6258052897337054,,0.5590427729452,0.6925678065222108,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
real,LOGIS,f1_score,fitted,35.696969696969695,0.6289477610470322,,0.5649908425902732,0.6929046795037912,,fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | TC | offaug_none | CVAE1-100
