total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.4,0.4,0.4
20,0,SVM,0.4066666666666666,0.45,0.35
20,0,KNN,0.47333333333333344,0.5,0.55
20,0,RF,0.49333333333333335,0.5,0.425
20,0,XGB,0.49333333333333335,0.5,0.45
20,1,LOGIS,0.6933333333333334,0.7,0.75
20,1,SVM,0.64,0.65,0.5
20,1,KNN,0.64,0.65,0.75
20,1,RF,0.74,0.75,0.75
20,1,XGB,0.4866666666666667,0.5,0.55
20,2,LOGIS,0.64,0.65,0.75
20,2,SVM,0.6,0.6,0.3
20,2,KNN,0.6,0.65,0.675
20,2,RF,0.74,0.75,0.825
20,2,XGB,0.5933333333333334,0.6,0.55
20,3,LOGIS,0.7466666666666667,0.75,0.8
20,3,SVM,0.7933333333333333,0.8,0.8
20,3,KNN,0.7466666666666667,0.75,0.825
20,3,RF,0.6933333333333334,0.7,0.8
20,3,XGB,0.68,0.7,0.725
20,4,LOGIS,0.6466666666666667,0.65,0.7
20,4,SVM,0.7933333333333333,0.8,0.3
20,4,KNN,0.5933333333333334,0.6,0.675
20,4,RF,0.6933333333333334,0.7,0.575
20,4,XGB,0.6933333333333334,0.7,0.8
27,0,LOGIS,0.5761904761904761,0.5933333333333334,0.6
27,0,SVM,0.7033333333333334,0.7066666666666668,0.6111111111111112
27,0,KNN,0.7428571428571429,0.7533333333333333,0.7833333333333334
27,0,RF,0.6233333333333333,0.6266666666666667,0.6444444444444445
27,0,XGB,0.5804761904761905,0.5933333333333334,0.5
27,1,LOGIS,0.7299999999999999,0.7333333333333333,0.7666666666666668
27,1,SVM,0.6238095238095237,0.6333333333333334,0.6222222222222222
27,1,KNN,0.6516666666666666,0.68,0.7166666666666667
27,1,RF,0.7757142857142856,0.78,0.788888888888889
27,1,XGB,0.5757142857142857,0.58,0.6777777777777778
27,2,LOGIS,0.7733333333333333,0.7733333333333333,0.788888888888889
27,2,SVM,0.7947619047619048,0.8066666666666666,0.7
27,2,KNN,0.609047619047619,0.62,0.6666666666666667
27,2,RF,0.69,0.6933333333333334,0.7333333333333334
27,2,XGB,0.679047619047619,0.6866666666666668,0.6666666666666667
27,3,LOGIS,0.6995238095238095,0.7133333333333333,0.7444444444444445
