total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.9,0.9,0.95
20,0,SVM,0.9,0.9,0.7
20,0,KNN,0.8466666666666667,0.85,0.9
20,0,RF,0.9,0.9,0.9
20,0,XGB,0.8466666666666667,0.85,0.85
20,1,LOGIS,0.6933333333333334,0.7,0.85
20,1,SVM,0.74,0.75,0.325
20,1,KNN,0.56,0.6,0.625
20,1,RF,0.5866666666666667,0.6,0.8
20,1,XGB,0.6866666666666668,0.7,0.75
20,2,LOGIS,0.74,0.75,0.7
20,2,SVM,0.6066666666666667,0.65,0.6
20,2,KNN,0.3933333333333333,0.45,0.5
20,2,RF,0.54,0.55,0.7
20,2,XGB,0.5866666666666667,0.6,0.6
20,3,LOGIS,0.8466666666666667,0.85,0.95
20,3,SVM,1.0,1.0,1.0
20,3,KNN,0.7866666666666667,0.8,0.95
20,3,RF,0.9466666666666667,0.95,1.0
20,3,XGB,0.8400000000000001,0.85,0.85
20,4,LOGIS,0.8400000000000001,0.85,0.9
20,4,SVM,0.74,0.75,0.65
20,4,KNN,0.6333333333333334,0.65,0.75
20,4,RF,0.8466666666666667,0.85,0.85
20,4,XGB,0.7933333333333333,0.8,0.85
109,0,LOGIS,0.9085610766045548,0.9090909090909092,0.9669421487603305
109,0,SVM,0.8157716920760401,0.8160173160173161,0.8976859504132232
109,0,KNN,0.7359261857180822,0.7424242424242424,0.8169421487603306
109,0,RF,0.7872018484947546,0.7887445887445887,0.860495867768595
109,0,XGB,0.8321772910537211,0.8341991341991342,0.9249586776859504
109,1,LOGIS,0.8424063617541877,0.8428571428571429,0.9175206611570248
109,1,SVM,0.7940869422974686,0.7965367965367965,0.896694214876033
109,1,KNN,0.7956446452098626,0.7965367965367964,0.8537190082644628
109,1,RF,0.776365405253277,0.7783549783549784,0.883801652892562
109,1,XGB,0.7863523191784061,0.7883116883116884,0.8656198347107438
109,2,LOGIS,0.8344400527009223,0.8350649350649351,0.9229752066115703
109,2,SVM,0.8432586902037702,0.8454545454545455,0.9173553719008265
109,2,KNN,0.7806832298136646,0.780952380952381,0.8557851239669422
109,2,RF,0.8244003189792662,0.8264069264069265,0.897190082644628
109,2,XGB,0.8153009698158439,0.8168831168831169,0.8803305785123967
109,3,LOGIS,0.8531827592697157,0.8536796536796537,0.895702479338843
109,3,SVM,0.8255023923444975,0.8264069264069265,0.8861157024793387
109,3,KNN,0.8248447204968944,0.8251082251082252,0.8656198347107438
109,3,RF,0.7968733493813586,0.7991341991341991,0.8854545454545455
109,3,XGB,0.7878174685726173,0.7887445887445887,0.8712396694214876
109,4,LOGIS,0.8155183314016267,0.8173160173160173,0.8571900826446279
109,4,SVM,0.8146067398149779,0.8177489177489177,0.8634710743801653
109,4,KNN,0.7714605684170902,0.7718614718614718,0.8323966942148759
109,4,RF,0.8253575242453961,0.8268398268398268,0.8998347107438016
109,4,XGB,0.8414164871487525,0.845021645021645,0.9244628099173553
199,0,LOGIS,0.8483501123038991,0.8487179487179487,0.9067631578947368
199,0,SVM,0.8377419972360697,0.8387179487179488,0.9089473684210526
199,0,KNN,0.8068434652522779,0.8083333333333333,0.8709736842105263
199,0,RF,0.8176552587335643,0.8188461538461539,0.8723421052631579
199,0,XGB,0.7780640861064482,0.7782051282051282,0.8357105263157895
199,1,LOGIS,0.8539192258319345,0.8542307692307693,0.937842105263158
199,1,SVM,0.8222410634895334,0.8234615384615385,0.9183947368421054
199,1,KNN,0.8424708320794538,0.8435897435897436,0.9099605263157894
199,1,RF,0.8226967481557445,0.8234615384615385,0.8846710526315789
199,1,XGB,0.8235357562765987,0.823974358974359,0.876407894736842
199,2,LOGIS,0.9296240836613109,0.9297435897435898,0.9763684210526318
199,2,SVM,0.884399380124669,0.8846153846153847,0.946236842105263
199,2,KNN,0.8435797827903091,0.8442307692307691,0.9033947368421054
199,2,RF,0.8587374838764514,0.8593589743589742,0.9246315789473686
199,2,XGB,0.8638513275227011,0.864102564102564,0.9337105263157894
199,3,LOGIS,0.9098997963953034,0.9099999999999999,0.9654999999999999
199,3,SVM,0.8628948257167742,0.8647435897435898,0.9390000000000001
199,3,KNN,0.8332665669477922,0.8346153846153846,0.8963421052631579
199,3,RF,0.8637697102652172,0.8646153846153846,0.9351842105263157
199,3,XGB,0.8570388196121279,0.8592307692307692,0.9253421052631579
199,4,LOGIS,0.8738807339982072,0.8742307692307693,0.9463684210526315
199,4,SVM,0.8732135615062445,0.8743589743589745,0.9086842105263159
199,4,KNN,0.7925208113807093,0.7937179487179488,0.8668815789473683
199,4,RF,0.8428754763029473,0.8438461538461539,0.8991447368421053
199,4,XGB,0.8081149844307738,0.8092307692307692,0.8957631578947369
288,0,LOGIS,0.9025155536048812,0.9026013309134907,0.9615848479701036
288,0,SVM,0.867585055678348,0.8680580762250454,0.9300662476643451
288,0,KNN,0.8015974606173316,0.8022383545069571,0.8695897740784779
288,0,RF,0.8044074857450904,0.8055051421657591,0.9058263971462545
288,0,XGB,0.8049880907429314,0.8055656382335148,0.8798029556650248
288,1,LOGIS,0.871395504765139,0.8715063520871145,0.9230932563275012
288,1,SVM,0.860605769628695,0.8612220205686631,0.9288092406998472
288,1,KNN,0.8433664958325865,0.8440411373260737,0.9121199252590454
288,1,RF,0.8390996757983924,0.8401693889897157,0.9030660777985393
288,1,XGB,0.8319462023257065,0.8331518451300666,0.9016307117377271
288,2,LOGIS,0.9266931581650582,0.9267392619479734,0.9695345676915237
288,2,SVM,0.8883188489891456,0.8885057471264368,0.9586886359775777
288,2,KNN,0.8746147263608002,0.8748941318814276,0.9311321555970784
288,2,RF,0.8211932849893928,0.8227465214761039,0.9146211992525904
288,2,XGB,0.8253917480118467,0.8258923169993949,0.9063869543060982
288,3,LOGIS,0.9270884692737104,0.927102238354507,0.977628673348055
288,3,SVM,0.870924780490849,0.8713248638838476,0.9438508578223205
288,3,KNN,0.8143540420097024,0.8160314579552329,0.8995753354849668
288,3,RF,0.8258286543833624,0.8260738052026617,0.9100518090708342
288,3,XGB,0.8119708059918558,0.8122807017543859,0.8857397655851876
288,4,LOGIS,0.9094745557640447,0.9094978826376285,0.9676235773738746
288,4,SVM,0.8747644535066479,0.8748941318814276,0.9544419908272465
288,4,KNN,0.8573117119511124,0.8577132486388385,0.9080346526244266
288,4,RF,0.8397099999387374,0.8402298850574713,0.9196959402072362
288,4,XGB,0.8261170273269242,0.8263762855414397,0.903898420248004
377,0,LOGIS,0.9416080756942329,0.9416842105263157,0.9911581942052857
377,0,SVM,0.8933865456402946,0.8937894736842106,0.9650894661974995
377,0,KNN,0.8406295344602045,0.8408771929824562,0.9318578273564423
377,0,RF,0.8370251722932723,0.8382105263157896,0.9272329115819421
377,0,XGB,0.8325012157364791,0.8327368421052632,0.9192071572957998
377,1,LOGIS,0.9255972647218667,0.9256491228070175,0.9773751590926105
377,1,SVM,0.9070888321938483,0.9071929824561403,0.9691435202515535
377,1,KNN,0.8487269997110157,0.848982456140351,0.930214494272666
377,1,RF,0.8617372258415772,0.8622456140350877,0.9411731676274613
377,1,XGB,0.8670584317886355,0.8674385964912281,0.9458523620573482
377,2,LOGIS,0.9469605497940032,0.9469824561403509,0.9804110204387213
377,2,SVM,0.899122843668626,0.8992631578947368,0.967878266077712
377,2,KNN,0.8510552858805449,0.8514035087719298,0.9318054203788277
377,2,RF,0.8420127879444314,0.8435438596491227,0.9263008160515085
377,2,XGB,0.8431313873912906,0.8437192982456139,0.9136669910908137
377,3,LOGIS,0.9150040121092753,0.9150877192982456,0.9580482144194056
377,3,SVM,0.89384955324429,0.8939298245614035,0.9619001272740885
377,3,KNN,0.8618074013585675,0.8619649122807018,0.9208411319907166
377,3,RF,0.8348753680990312,0.8355438596491227,0.9243617578797634
377,3,XGB,0.84882077637122,0.8489473684210527,0.9067810885677922
377,4,LOGIS,0.9388905909958541,0.9389473684210525,0.9775922737141574
377,4,SVM,0.8910742102566045,0.8911929824561404,0.9622220558508647
377,4,KNN,0.8562192423269535,0.8568421052631578,0.9237740510593696
377,4,RF,0.8482770159441582,0.8487719298245615,0.9122613610840757
377,4,XGB,0.8430909936168746,0.8434385964912281,0.90621397020289
467,0,LOGIS,0.9377682869993815,0.9378403111416151,0.9814179148542523
467,0,SVM,0.9356330213907242,0.9356440173873256,0.9772590391087842
467,0,KNN,0.8947743915334826,0.8950125829329674,0.9486133800460566
467,0,RF,0.8454078973641987,0.8457103637611532,0.9355354577125199
467,0,XGB,0.8432221091239003,0.843536948066804,0.9297852658098293
467,1,LOGIS,0.9400187686228699,0.9400366048959048,0.9863384966638454
467,1,SVM,0.9143468463489096,0.9144360558224662,0.9701143543212549
467,1,KNN,0.8714648873282573,0.8716083276138183,0.9424478910386365
467,1,RF,0.8456602253495562,0.8458476321207963,0.9190603656976402
467,1,XGB,0.8563452335762685,0.8565545641729582,0.914646603814435
467,2,LOGIS,0.9529394973935595,0.9529627087622969,0.990227724526148
467,2,SVM,0.9011868930194076,0.9014641958361931,0.9752337276359556
467,2,KNN,0.8950836763611185,0.8951498512926104,0.9598775759245773
467,2,RF,0.8365592415700478,0.8372226035232213,0.929438856850434
467,2,XGB,0.8303747091354776,0.830748112560055,0.9086385734249218
467,3,LOGIS,0.9548613499862997,0.9549073438572411,0.9863227508020549
467,3,SVM,0.9206850276192036,0.9207961564859299,0.9802310705217785
467,3,KNN,0.9100342057440798,0.9102036147334707,0.9549422323695553
467,3,RF,0.8584016361275211,0.8586593456874857,0.9387121853287933
467,3,XGB,0.8347715827487899,0.8352093342484558,0.9228954671600371
467,4,LOGIS,0.9336663768349516,0.9336765042324411,0.9745035132954121
467,4,SVM,0.8991589741925458,0.8993594143216654,0.9679119019032809
467,4,KNN,0.845788720092747,0.8460077785403797,0.9306424311610604
467,4,RF,0.8348376989114316,0.8352779684282773,0.9205749207786329
467,4,XGB,0.8433576433150025,0.8437428506062685,0.9188851929852184
553,0,LOGIS,0.9565615186340606,0.9565929565929565,0.9847162097162097
553,0,SVM,0.9240108817369104,0.924062244062244,0.9791361231361231
553,0,KNN,0.8877199484232733,0.8880098280098281,0.963015096856006
553,0,RF,0.8458684362388368,0.8463226863226863,0.9342493003629369
553,0,XGB,0.8601679964821812,0.8607043407043407,0.9398711574620666
553,1,LOGIS,0.9529861873449791,0.9530057330057332,0.9883411823866369
553,1,SVM,0.9276338796027636,0.9276658476658476,0.9811192881192881
553,1,KNN,0.898579531167524,0.8986895986895987,0.9579708994708994
553,1,RF,0.8460966540507728,0.8463063063063064,0.9371240216012943
553,1,XGB,0.8532680798638715,0.8535790335790336,0.9348425379334471
553,2,LOGIS,0.936762203346811,0.9367895167895168,0.9781943897852988
553,2,SVM,0.918538023810927,0.9186895986895987,0.978653810835629
553,2,KNN,0.8877918709655223,0.887895167895168,0.9495828632646812
553,2,RF,0.8568749483317992,0.8572153972153972,0.936636298045389
553,2,XGB,0.8732031751201095,0.8735298935298935,0.943661135161135
553,3,LOGIS,0.94029432082603,0.9403112203112205,0.9816523896978442
553,3,SVM,0.931188292844284,0.9312039312039311,0.9812256329529057
553,3,KNN,0.8911939554356912,0.8913677313677313,0.9576675084175085
553,3,RF,0.8660700258625387,0.866142506142506,0.9437024684070139
553,3,XGB,0.8586593223934681,0.8588861588861588,0.941567995977087
553,4,LOGIS,0.9458034609700471,0.9458149058149058,0.9872356683720319
553,4,SVM,0.9331698856298063,0.9332186732186732,0.9795909746818838
553,4,KNN,0.9005167103106283,0.9006879606879608,0.9620568455113909
553,4,RF,0.8607411041211435,0.8609172809172809,0.9411865953911407
553,4,XGB,0.858905078108404,0.8590335790335791,0.933035003716822
643,0,LOGIS,0.9657989653815321,0.9658187984496124,0.9918500553266177
643,0,SVM,0.9282757383446045,0.9284520348837209,0.9830322682959401
643,0,KNN,0.917485964961821,0.9175508720930232,0.9645667890052655
643,0,RF,0.8675835548563638,0.8679021317829457,0.9474485486301892
643,0,XGB,0.8687670477145216,0.8693192829457363,0.9372976047390109
643,1,LOGIS,0.9486289169084108,0.9486434108527131,0.9885235305059524
643,1,SVM,0.9299852172781536,0.9300508720930232,0.9807469928075397
643,1,KNN,0.8988066383271753,0.8989098837209302,0.9613687256753665
643,1,RF,0.869151155243433,0.8694161821705426,0.9423845653044871
643,1,XGB,0.8628705948836913,0.8631056201550388,0.9334129249656593
643,2,LOGIS,0.9594923678052684,0.9595082364341085,0.9877509014423076
643,2,SVM,0.929817856293851,0.9299176356589147,0.9804344689598595
643,2,KNN,0.9049472465764958,0.9050266472868216,0.9606677469665751
643,2,RF,0.868990934695225,0.8692950581395349,0.9443002077132936
643,2,XGB,0.8816789804117539,0.881795058139535,0.9445881982600733
643,3,LOGIS,0.9471406224953928,0.9471778100775193,0.9857466947115384
643,3,SVM,0.9144310851452493,0.9144743217054263,0.9776705109126984
643,3,KNN,0.898761447437,0.8989583333333332,0.9557933348118896
643,3,RF,0.8770769941551564,0.877156007751938,0.943866478031517
643,3,XGB,0.86611368725545,0.8663032945736434,0.9361292472718254
643,4,LOGIS,0.9502227846527876,0.9502422480620154,0.9911833695818071
643,4,SVM,0.9439776682122274,0.9439922480620154,0.9870773237179489
643,4,KNN,0.9112583776471199,0.911312984496124,0.9623868546817766
643,4,RF,0.8752104879119322,0.875593507751938,0.9486227666647589
643,4,XGB,0.8676117155930123,0.8677688953488373,0.9407751688415751
732,0,LOGIS,0.9616908765014361,0.9616997483925076,0.9913184811758653
732,0,SVM,0.9398200176025462,0.9398471717454104,0.9857018751722262
732,0,KNN,0.9098344823085048,0.9098872425682603,0.9627940381740345
732,0,RF,0.8713677236780125,0.8715590345727332,0.9510104035824153
732,0,XGB,0.8712398721138183,0.8715590345727332,0.9463357333689478
732,1,LOGIS,0.9590007344293884,0.959006616345168,0.9898055683756566
732,1,SVM,0.9425795890996443,0.942624172956854,0.9826506066020985
732,1,KNN,0.9069258946522373,0.9070916037647937,0.9677381347851887
732,1,RF,0.8589876622037618,0.859304817817538,0.9455144755846108
732,1,XGB,0.8700155894825228,0.8702357655390924,0.9451791489368896
732,2,LOGIS,0.9603305191798333,0.9603485229708321,0.9911135286158743
732,2,SVM,0.943966071835387,0.9439847171745409,0.9857585019810579
732,2,KNN,0.9110515443250987,0.9111545988258317,0.9624275840392842
732,2,RF,0.8576426363305691,0.8579722299878856,0.9456560285186668
732,2,XGB,0.8728354686433409,0.8729475351784549,0.9444565390122719
732,3,LOGIS,0.9767695065135141,0.976777560339204,0.9940126888006414
732,3,SVM,0.9467157876556433,0.9467337619979499,0.9867035758783741
732,3,KNN,0.9125254104787544,0.9125617370235766,0.9698906050918625
732,3,RF,0.8644837228462908,0.8648029074643556,0.951849077685304
732,3,XGB,0.8658490453805875,0.866219364458112,0.9361994923239998
732,4,LOGIS,0.965826238942953,0.9658466126176497,0.9957059494285051
