total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.6333333333333334,0.65,0.8
20,0,SVM,0.47333333333333344,0.5,0.25
20,0,KNN,0.47333333333333333,0.5,0.525
20,0,RF,0.5333333333333334,0.55,0.7
20,0,XGB,0.5333333333333334,0.55,0.575
20,1,LOGIS,0.9,0.9,0.9
20,1,SVM,0.6466666666666667,0.65,0.45
20,1,KNN,0.6133333333333333,0.65,0.65
20,1,RF,0.6933333333333334,0.7,0.75
20,1,XGB,0.8466666666666667,0.85,0.9
20,2,LOGIS,0.8933333333333333,0.9,0.85
20,2,SVM,0.8400000000000001,0.85,0.5
20,2,KNN,0.44000000000000006,0.5,0.6
20,2,RF,0.8400000000000001,0.85,0.875
20,2,XGB,0.6333333333333334,0.65,0.625
20,3,LOGIS,0.6933333333333334,0.7,0.8
20,3,SVM,0.7466666666666667,0.75,0.35
20,3,KNN,0.6466666666666667,0.65,0.65
20,3,RF,0.7933333333333333,0.8,0.85
20,3,XGB,0.8933333333333333,0.9,0.9
20,4,LOGIS,0.9466666666666667,0.95,0.95
20,4,SVM,0.74,0.75,0.7
20,4,KNN,0.7333333333333334,0.75,0.8
20,4,RF,0.6933333333333334,0.7,0.85
20,4,XGB,1.0,1.0,1.0
109,0,LOGIS,0.9727084509693207,0.9727272727272727,0.9983471074380166
109,0,SVM,0.9635610766045548,0.9636363636363636,0.9867768595041323
109,0,KNN,0.8354545454545453,0.8363636363636363,0.8900826446280992
109,0,RF,0.8624720893141946,0.8636363636363636,0.9429752066115704
109,0,XGB,0.9270082815734989,0.9272727272727274,0.971900826446281
109,1,LOGIS,0.9817805383022774,0.9818181818181818,0.9983471074380166
109,1,SVM,0.9441542756760148,0.9445887445887446,0.9900826446280991
109,1,KNN,0.8331639375117635,0.8333333333333334,0.9151239669421487
109,1,RF,0.8900295204414199,0.8904761904761905,0.9825619834710745
109,1,XGB,0.8982305764411027,0.8995670995670995,0.9966942148760332
109,2,LOGIS,0.9722567287784679,0.9722943722943723,1.0
109,2,SVM,0.8863974817303664,0.8887445887445888,0.9733884297520662
109,2,KNN,0.7867617165443253,0.7874458874458875,0.8863636363636364
109,2,RF,0.888939393939394,0.8891774891774892,0.9560330578512397
109,2,XGB,0.9449189772851099,0.9454545454545453,0.9710743801652892
109,3,LOGIS,0.9908902691511386,0.990909090909091,0.9983471074380166
109,3,SVM,0.8990372670807453,0.8995670995670997,0.9585123966942148
109,3,KNN,0.7685046113306984,0.7701298701298702,0.8484297520661157
109,3,RF,0.8443384152079805,0.8445887445887447,0.9231404958677686
109,3,XGB,0.8701643766861158,0.870995670995671,0.9459504132231406
109,4,LOGIS,0.9908902691511386,0.990909090909091,0.9983471074380166
109,4,SVM,0.908336156597026,0.9086580086580087,0.9798347107438016
109,4,KNN,0.8059239402854963,0.8077922077922077,0.8807438016528927
109,4,RF,0.8531827592697157,0.8536796536796537,0.9545454545454547
109,4,XGB,0.9161556559382646,0.9164502164502165,0.9869421487603306
199,0,LOGIS,1.0,1.0,1.0
199,0,SVM,0.9599874921826143,0.96,0.9945
199,0,KNN,0.8492412990263544,0.8494871794871794,0.9291315789473684
199,0,RF,0.8946076463406373,0.8948717948717949,0.9600000000000002
199,0,XGB,0.9349656035021889,0.9349999999999999,0.9789999999999999
199,1,LOGIS,0.9899937460913071,0.99,0.9995
199,1,SVM,0.9399499217085866,0.9400000000000001,0.986
199,1,KNN,0.8743891153775621,0.8744871794871795,0.9346184210526316
199,1,RF,0.9043878382505722,0.9048717948717948,0.9730000000000001
199,1,XGB,0.9295404222233492,0.9296153846153846,0.9800921052631578
199,2,LOGIS,0.9949968730456537,0.9949999999999999,1.0
199,2,SVM,0.9342426565968974,0.9344871794871794,0.9891842105263159
199,2,KNN,0.8991541941156832,0.8992307692307693,0.9428157894736842
199,2,RF,0.9140712945590994,0.9141025641025641,0.9703947368421053
199,2,XGB,0.914246215915022,0.9143589743589743,0.9872105263157895
199,3,LOGIS,0.9899749373433584,0.99,0.999
199,3,SVM,0.909414581588209,0.9098717948717949,0.9835
199,3,KNN,0.8645958940503228,0.8647435897435898,0.9125921052631579
199,3,RF,0.8844866896256572,0.8848717948717949,0.9679342105263158
199,3,XGB,0.9398872415560477,0.9400000000000001,0.9890000000000001
199,4,LOGIS,0.99,0.99,0.9995
199,4,SVM,0.9598624140087555,0.959871794871795,0.9898684210526316
199,4,KNN,0.8543390841080185,0.8544871794871796,0.9160263157894738
199,4,RF,0.9037082700497334,0.9039743589743591,0.9720526315789473
199,4,XGB,0.9494424463794855,0.9496153846153847,0.9908421052631577
288,0,LOGIS,0.9965506987808505,0.9965517241379309,1.0
288,0,SVM,0.9617657040122346,0.961826981246219,0.9947086801426872
288,0,KNN,0.8816887304737812,0.8820326678765881,0.9410862918294548
288,0,RF,0.9199541297548761,0.9200241984271023,0.9828095804314592
288,0,XGB,0.9583129726713041,0.9583182093163944,0.9867971802276202
288,1,LOGIS,0.9965506987808505,0.9965517241379309,1.0
288,1,SVM,0.9756964657089691,0.975741076830006,0.9952437574316291
288,1,KNN,0.8890358567371088,0.8890502117362372,0.9463478851707151
288,1,RF,0.9341464620403215,0.9342407743496672,0.9869543060981825
288,1,XGB,0.9583858054768102,0.9584392014519058,0.9829369797859691
288,2,LOGIS,0.9860755336617405,0.9860859044162129,0.9997536945812808
288,2,SVM,0.9616772221338501,0.9617664851784633,0.9975624256837099
288,2,KNN,0.8922936503857928,0.8923774954627948,0.9599498895872263
288,2,RF,0.934067115087168,0.9341802782819117,0.9851240020383898
288,2,XGB,0.9478824645163197,0.9479128856624319,0.9880159673857651
288,3,LOGIS,0.9930376017084314,0.9930429522081065,0.9992865636147442
288,3,SVM,0.9583068132048416,0.9583182093163944,0.9931968744691693
288,3,KNN,0.8606552365322516,0.8609195402298851,0.9254968574825888
288,3,RF,0.9235093309935662,0.9235934664246825,0.9725157125870562
288,3,XGB,0.9513726555110479,0.9514216575922564,0.991370817054527
288,4,LOGIS,0.993041926851026,0.9930429522081065,0.9997536945812808
288,4,SVM,0.961918106194768,0.9619479733817302,0.9923815186003058
288,4,KNN,0.8957746536959164,0.895946763460375,0.9453499235603873
288,4,RF,0.933893660164656,0.9341197822141561,0.981013249532869
288,4,XGB,0.9477740156938225,0.9477918935269207,0.9929760489213522
377,0,LOGIS,0.9947359307359307,0.9947368421052631,1.0
377,0,SVM,0.9682066777230938,0.9682456140350878,0.9972149434753315
377,0,KNN,0.9017633035207531,0.9018947368421053,0.9478251104289885
377,0,RF,0.9335778848690331,0.933719298245614,0.9866474507748746
377,0,XGB,0.9467907358396005,0.9468771929824561,0.99296249157745
377,1,LOGIS,0.9973679653679653,0.9973684210526315,1.0
377,1,SVM,0.978764032488618,0.9787719298245614,0.9976192258740737
377,1,KNN,0.8884706341203472,0.888561403508772,0.9467301789323951
377,1,RF,0.9415551007936177,0.9416140350877192,0.9894961443437899
377,1,XGB,0.9335994723996329,0.9336491228070175,0.9901250280751664
377,2,LOGIS,1.0,1.0,1.0
377,2,SVM,0.9707929265297686,0.9708070175438597,0.9958972823238751
377,2,KNN,0.8774807642239493,0.8778245614035087,0.9450494122931797
377,2,RF,0.9389842875385938,0.939017543859649,0.9890282249008011
377,2,XGB,0.9441628376365218,0.9441754385964913,0.9893576401886651
377,3,LOGIS,0.9920701754385967,0.9920701754385967,0.9997229916897507
377,3,SVM,0.9469968575303831,0.9470175438596492,0.9927154301115519
377,3,KNN,0.8992702945143289,0.8993333333333334,0.9488919667590029
377,3,RF,0.9232917502158854,0.9233333333333335,0.9783072546230441
377,3,XGB,0.9468812993182135,0.9469473684210525,0.9881447929924384
377,4,LOGIS,0.9947012987012986,0.994701754385965,0.9992999925132888
377,4,SVM,0.9681275192389472,0.9681754385964911,0.9972074567642434
377,4,KNN,0.8990461272761202,0.8991228070175439,0.9594875346260388
377,4,RF,0.9359769537681404,0.9362807017543859,0.9861233809987272
377,4,XGB,0.9600716209209359,0.9601052631578948,0.9889402560455192
467,0,LOGIS,0.9978484673221516,0.9978494623655914,1.0
467,0,SVM,0.9657054548403681,0.9657286662091055,0.9965949573877616
467,0,KNN,0.9035179686098148,0.9035918554106612,0.9626823075560453
467,0,RF,0.946302810554916,0.9464424616792495,0.9898350620977425
467,0,XGB,0.9485199468518888,0.9486158773735986,0.9915041234475563
467,1,LOGIS,0.9935705269859021,0.9935712651567148,0.9997224791859389
467,1,SVM,0.9722200549917845,0.9722489132921528,0.9959887417088197
467,1,KNN,0.8885986648651393,0.888675360329444,0.9379386698683252
467,1,RF,0.9401258053798834,0.9401509951956074,0.9830771350404472
467,1,XGB,0.9572487381844128,0.9572637840311142,0.9918987541086859
467,2,LOGIS,0.9935478897476451,0.9935483870967742,0.9999074930619797
467,2,SVM,0.9721855038602003,0.9722031571722718,0.9968862558308895
467,2,KNN,0.8884962915995143,0.8886067261496224,0.9569655756096601
467,2,RF,0.9464394813233488,0.9464653397391901,0.9887761528923178
467,2,XGB,0.946450991001076,0.9464653397391901,0.9925718897002384
467,3,LOGIS,0.9978720996038483,0.997872340425532,1.0
467,3,SVM,0.9764183963950843,0.9764355982612674,0.9987147440313343
467,3,KNN,0.9185256838141648,0.9186684969114619,0.9661276989391225
467,3,RF,0.9506917062890874,0.9507435369480668,0.9925718897002381
467,3,XGB,0.9549506354668997,0.9549759780370625,0.9898065227232469
467,4,LOGIS,0.9892896483273935,0.9892930679478379,0.9999074930619797
467,4,SVM,0.9785456006160345,0.9785632578357355,0.9973330446592005
467,4,KNN,0.9035253540168202,0.9036604895904826,0.9559322534296456
467,4,RF,0.9419777366149052,0.9421185083504919,0.9873078512803353
467,4,XGB,0.9484872280209619,0.9485472431937773,0.9894463361347846
553,0,LOGIS,0.9963624338624338,0.9963636363636363,0.9998015873015873
553,0,SVM,0.9819235133866722,0.9819328419328419,0.9988876863876864
553,0,KNN,0.9132253978667076,0.9133005733005733,0.973649295990205
553,0,RF,0.9566314916314915,0.9566584766584766,0.9915103633739999
553,0,XGB,0.9457928230329262,0.9458149058149058,0.990863395863396
553,1,LOGIS,0.9981981981981981,0.9981981981981981,1.0
553,1,SVM,0.9783059109273161,0.9783292383292383,0.9993482662119026
553,1,KNN,0.9111901913682401,0.9114004914004914,0.9682675674493856
553,1,RF,0.9620012885534741,0.962063882063882,0.9963336394245486
553,1,XGB,0.9510958848340374,0.9511711711711712,0.9957529625256898
553,2,LOGIS,1.0,1.0,1.0
553,2,SVM,0.9873510757764589,0.9873546273546274,0.9988842975206611
553,2,KNN,0.936624605540268,0.9366748566748567,0.9709045432681798
553,2,RF,0.9548122089682002,0.9548239148239149,0.9908556889238709
553,2,XGB,0.9547329618158171,0.9548075348075347,0.9934662206480389
553,3,LOGIS,1.0,1.0,1.0
553,3,SVM,0.9728684357861302,0.9728910728910728,0.9980424810879358
553,3,KNN,0.9058698134839329,0.9060278460278461,0.9653347763347764
553,3,RF,0.9456932780330949,0.9457657657657658,0.9884921618785254
553,3,XGB,0.9620211406858232,0.9620311220311221,0.9930873234509597
553,4,LOGIS,0.9981804648085353,0.9981818181818183,1.0
553,4,SVM,0.9891507367316867,0.9891564291564292,0.9997378547378547
553,4,KNN,0.9203813645988269,0.9204750204750205,0.9686642179369451
553,4,RF,0.9529425582566299,0.952972972972973,0.9897732520005246
553,4,XGB,0.9510732124762766,0.951138411138411,0.9936216493943768
643,0,LOGIS,0.998449239646571,0.9984496124031008,1.0
643,0,SVM,0.984443198111558,0.9844476744186046,0.998740234375
