total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.42666666666666664,0.45,0.45
20,0,SVM,0.42666666666666664,0.45,0.5
20,0,KNN,0.2866666666666666,0.35,0.4
20,0,RF,0.31999999999999995,0.35,0.275
20,0,XGB,0.5933333333333334,0.6,0.45
20,1,LOGIS,0.74,0.75,0.9
20,1,SVM,0.7466666666666667,0.75,0.45
20,1,KNN,0.6933333333333334,0.7,0.825
20,1,RF,0.6933333333333334,0.7,0.725
20,1,XGB,0.42666666666666664,0.45,0.5
20,2,LOGIS,0.32666666666666666,0.35,0.45
20,2,SVM,0.31999999999999995,0.35,0.65
20,2,KNN,0.5866666666666667,0.6,0.55
20,2,RF,0.38666666666666666,0.4,0.375
20,2,XGB,0.5800000000000001,0.6,0.65
20,3,LOGIS,0.4866666666666667,0.5,0.55
20,3,SVM,0.5333333333333334,0.55,0.45
20,3,KNN,0.5866666666666667,0.6,0.675
20,3,RF,0.42666666666666664,0.45,0.5
20,3,XGB,0.33999999999999997,0.35,0.3
20,4,LOGIS,0.8,0.8,0.7
20,4,SVM,0.8,0.8,0.15
20,4,KNN,0.7466666666666667,0.75,0.825
20,4,RF,0.7466666666666667,0.75,0.725
20,4,XGB,0.54,0.55,0.625
25,0,LOGIS,0.7133333333333333,0.72,0.7333333333333332
25,0,SVM,0.6266666666666666,0.64,0.4333333333333334
25,0,KNN,0.6333333333333334,0.64,0.6166666666666666
25,0,RF,0.6699999999999999,0.68,0.7166666666666666
25,0,XGB,0.6171428571428571,0.64,0.5333333333333333
25,1,LOGIS,0.5304761904761903,0.5599999999999999,0.5
25,1,SVM,0.4471428571428572,0.48,0.5000000000000001
25,1,KNN,0.35880952380952386,0.43999999999999995,0.4166666666666667
25,1,RF,0.487142857142857,0.52,0.6333333333333334
25,1,XGB,0.47333333333333333,0.48,0.4333333333333333
25,2,LOGIS,0.32380952380952377,0.36000000000000004,0.2333333333333333
25,2,SVM,0.23809523809523805,0.32,0.7666666666666667
25,2,KNN,0.3571428571428571,0.4,0.4
25,2,RF,0.31547619047619047,0.4000000000000001,0.35
25,2,XGB,0.5066666666666666,0.52,0.4833333333333334
25,3,LOGIS,0.9199999999999999,0.9199999999999999,0.9666666666666668
25,3,SVM,0.7133333333333333,0.72,0.9333333333333333
25,3,KNN,0.7933333333333333,0.8,0.8833333333333334
25,3,RF,0.7966666666666666,0.8,1.0
25,3,XGB,0.96,0.96,0.9666666666666668
25,4,LOGIS,0.5457142857142857,0.56,0.5333333333333334
25,4,SVM,0.21428571428571425,0.27999999999999997,0.6666666666666666
25,4,KNN,0.26095238095238094,0.32,0.35
25,4,RF,0.29666666666666663,0.32,0.45
25,4,XGB,0.14666666666666667,0.16,0.1
30,0,LOGIS,0.5276190476190477,0.5333333333333333,0.5277777777777779
30,0,SVM,0.5109523809523809,0.5666666666666667,0.40277777777777785
30,0,KNN,0.4766666666666667,0.5000000000000001,0.5194444444444445
30,0,RF,0.48952380952380947,0.4999999999999999,0.6666666666666667
30,0,XGB,0.6461904761904762,0.6666666666666666,0.7305555555555555
30,1,LOGIS,0.5961904761904762,0.6,0.6083333333333334
30,1,SVM,0.4830952380952381,0.5,0.41111111111111115
30,1,KNN,0.4666666666666666,0.4666666666666666,0.49444444444444446
30,1,RF,0.5071428571428571,0.5333333333333333,0.5555555555555556
30,1,XGB,0.4247619047619048,0.4333333333333333,0.4333333333333334
30,2,LOGIS,0.6240476190476191,0.6333333333333334,0.7416666666666667
30,2,SVM,0.4702380952380952,0.4999999999999999,0.1638888888888889
30,2,KNN,0.5573809523809523,0.5666666666666667,0.5736111111111111
30,2,RF,0.5192857142857144,0.5333333333333333,0.6083333333333334
30,2,XGB,0.5795238095238096,0.6,0.7055555555555556
30,3,LOGIS,0.49523809523809526,0.5,0.4833333333333334
30,3,SVM,0.49428571428571433,0.5333333333333333,0.49444444444444446
30,3,KNN,0.525,0.5333333333333333,0.5930555555555557
30,3,RF,0.4228571428571429,0.4333333333333333,0.5027777777777779
30,3,XGB,0.23047619047619045,0.3,0.2361111111111111
30,4,LOGIS,0.660952380952381,0.6666666666666666,0.7222222222222221
30,4,SVM,0.4526190476190476,0.5333333333333333,0.2777777777777778
30,4,KNN,0.6545238095238094,0.6666666666666667,0.6694444444444445
30,4,RF,0.5349999999999999,0.5666666666666667,0.5444444444444444
30,4,XGB,0.5923809523809525,0.6,0.4527777777777778
34,0,LOGIS,0.6014285714285714,0.6142857142857142,0.6777777777777777
34,0,SVM,0.5936507936507937,0.6142857142857142,0.41666666666666663
34,0,KNN,0.652142857142857,0.6714285714285715,0.6916666666666667
34,0,RF,0.5780952380952381,0.5857142857142856,0.6805555555555556
34,0,XGB,0.4847619047619047,0.5,0.5722222222222223
34,1,LOGIS,0.6066666666666666,0.6190476190476191,0.5833333333333333
34,1,SVM,0.42333333333333334,0.5,0.425
34,1,KNN,0.4585714285714285,0.4714285714285714,0.4222222222222222
34,1,RF,0.42333333333333323,0.4523809523809524,0.4083333333333333
34,1,XGB,0.44976190476190475,0.47142857142857136,0.47777777777777786
34,2,LOGIS,0.6502380952380952,0.6523809523809524,0.6333333333333333
34,2,SVM,0.5283333333333333,0.5904761904761904,0.4
34,2,KNN,0.4601587301587301,0.4809523809523809,0.47777777777777775
34,2,RF,0.5780952380952381,0.5857142857142856,0.5277777777777777
34,2,XGB,0.3345238095238095,0.3476190476190476,0.27222222222222225
34,3,LOGIS,0.6192857142857141,0.6238095238095238,0.6166666666666667
34,3,SVM,0.5638095238095238,0.5952380952380952,0.38333333333333336
34,3,KNN,0.575,0.5904761904761904,0.6027777777777777
34,3,RF,0.6338095238095237,0.680952380952381,0.7333333333333334
34,3,XGB,0.6323809523809523,0.6476190476190475,0.6055555555555555
34,4,LOGIS,0.4585714285714285,0.47142857142857136,0.4111111111111111
34,4,SVM,0.4,0.5,0.55
34,4,KNN,0.35658730158730156,0.3857142857142857,0.3222222222222222
34,4,RF,0.49777777777777776,0.5333333333333333,0.35277777777777775
34,4,XGB,0.34595238095238096,0.3571428571428571,0.4833333333333333
39,0,LOGIS,0.5146825396825397,0.5178571428571429,0.4666666666666667
39,0,SVM,0.5003174603174603,0.5142857142857142,0.3333333333333333
39,0,KNN,0.41047619047619044,0.4392857142857142,0.38125
39,0,RF,0.47603174603174603,0.48571428571428565,0.4625
39,0,XGB,0.4833333333333334,0.4892857142857142,0.4458333333333333
39,1,LOGIS,0.7154761904761905,0.7178571428571429,0.7375
39,1,SVM,0.6880952380952381,0.6892857142857143,0.7708333333333333
39,1,KNN,0.6217460317460317,0.6357142857142857,0.7583333333333333
39,1,RF,0.5817460317460317,0.5857142857142856,0.6979166666666667
39,1,XGB,0.534920634920635,0.5392857142857143,0.55
39,2,LOGIS,0.6384920634920634,0.6428571428571429,0.5833333333333333
39,2,SVM,0.5434920634920635,0.5642857142857143,0.3125
39,2,KNN,0.5246031746031746,0.5392857142857143,0.5979166666666667
39,2,RF,0.5242857142857142,0.5357142857142857,0.5229166666666667
39,2,XGB,0.508939393939394,0.5428571428571429,0.4666666666666666
39,3,LOGIS,0.553968253968254,0.5607142857142857,0.625
39,3,SVM,0.5563492063492064,0.5607142857142857,0.5020833333333333
39,3,KNN,0.5892857142857142,0.5928571428571429,0.6166666666666666
39,3,RF,0.6055555555555555,0.6107142857142857,0.6416666666666666
39,3,XGB,0.5314285714285715,0.5392857142857143,0.5979166666666667
39,4,LOGIS,0.663888888888889,0.6678571428571429,0.7416666666666667
39,4,SVM,0.6130952380952381,0.6178571428571429,0.50625
39,4,KNN,0.5814285714285715,0.5892857142857142,0.5645833333333333
39,4,RF,0.6380952380952382,0.6392857142857142,0.6875
39,4,XGB,0.6047619047619047,0.6107142857142857,0.675
44,0,LOGIS,0.6158946608946609,0.6222222222222222,0.7
44,0,SVM,0.5637590187590188,0.5722222222222222,0.27999999999999997
44,0,KNN,0.5497835497835497,0.5722222222222222,0.6225
44,0,RF,0.5648556998556999,0.575,0.735
44,0,XGB,0.6115873015873017,0.6138888888888889,0.605
44,1,LOGIS,0.4670923520923521,0.4722222222222222,0.4875
44,1,SVM,0.5482034632034632,0.5666666666666667,0.41
44,1,KNN,0.3493795093795094,0.3638888888888889,0.3825
44,1,RF,0.3281385281385282,0.3416666666666667,0.28375
44,1,XGB,0.47311688311688316,0.4833333333333333,0.4625
44,2,LOGIS,0.6321428571428572,0.6361111111111111,0.65
44,2,SVM,0.6088095238095239,0.6138888888888889,0.475
44,2,KNN,0.7232034632034632,0.7277777777777777,0.64375
44,2,RF,0.571926406926407,0.5916666666666667,0.59375
44,2,XGB,0.61,0.6166666666666666,0.6025
44,3,LOGIS,0.6531168831168832,0.6611111111111112,0.6900000000000001
44,3,SVM,0.509155844155844,0.5416666666666666,0.36
44,3,KNN,0.6333333333333333,0.6388888888888888,0.6325000000000001
44,3,RF,0.49803418803418803,0.5222222222222223,0.5525
44,3,XGB,0.5356854256854258,0.5472222222222223,0.54
44,4,LOGIS,0.5900000000000001,0.5944444444444444,0.5725
44,4,SVM,0.5548773448773449,0.5694444444444444,0.35
44,4,KNN,0.6088095238095238,0.6138888888888888,0.6025
44,4,RF,0.5337662337662338,0.5472222222222222,0.56125
44,4,XGB,0.3796825396825397,0.38611111111111107,0.36
49,0,LOGIS,0.6333838383838384,0.6355555555555557,0.6716666666666666
49,0,SVM,0.6123232323232324,0.6155555555555555,0.31733333333333336
49,0,KNN,0.5933838383838383,0.5955555555555556,0.5568333333333333
49,0,RF,0.5821933621933622,0.5933333333333333,0.6041666666666667
49,0,XGB,0.6517171717171718,0.6533333333333332,0.762
49,1,LOGIS,0.5046464646464646,0.5111111111111111,0.532
49,1,SVM,0.504029304029304,0.5555555555555556,0.4986666666666667
49,1,KNN,0.4382323232323232,0.44666666666666666,0.4746666666666667
49,1,RF,0.4916466866466866,0.5133333333333333,0.5108333333333335
49,1,XGB,0.6715151515151515,0.6733333333333332,0.653
49,2,LOGIS,0.6249494949494949,0.6288888888888888,0.603
49,2,SVM,0.37258297258297257,0.4688888888888888,0.4613333333333333
49,2,KNN,0.373989898989899,0.40666666666666673,0.4255
49,2,RF,0.5048717948717949,0.5311111111111112,0.5843333333333333
49,2,XGB,0.49373737373737364,0.5044444444444445,0.558
49,3,LOGIS,0.6077777777777778,0.611111111111111,0.627
49,3,SVM,0.46000333000333005,0.48888888888888893,0.39033333333333337
49,3,KNN,0.5446464646464646,0.5511111111111111,0.5638333333333333
49,3,RF,0.6081818181818182,0.611111111111111,0.556
49,3,XGB,0.422979797979798,0.42666666666666664,0.42300000000000004
49,4,LOGIS,0.5455266955266955,0.5533333333333333,0.633
49,4,SVM,0.5367354867354867,0.5733333333333333,0.43633333333333335
49,4,KNN,0.4891774891774892,0.528888888888889,0.46033333333333337
49,4,RF,0.5397224997224997,0.5511111111111111,0.5403333333333333
49,4,XGB,0.6053030303030302,0.6155555555555555,0.602
54,0,LOGIS,0.5868142968142969,0.5945454545454545,0.6906666666666667
54,0,SVM,0.6256643356643357,0.6309090909090909,0.356
54,0,KNN,0.5693162393162393,0.5745454545454545,0.5660000000000001
54,0,RF,0.5782339882339883,0.5945454545454545,0.6679999999999999
54,0,XGB,0.5187534687534686,0.54,0.5573333333333335
54,1,LOGIS,0.5341647241647243,0.5381818181818182,0.5586666666666666
54,1,SVM,0.5257187257187258,0.54,0.49333333333333335
54,1,KNN,0.3622066822066822,0.3709090909090909,0.3613333333333333
54,1,RF,0.46878399378399377,0.48,0.45266666666666666
54,1,XGB,0.4364790764790765,0.4454545454545455,0.33066666666666666
54,2,LOGIS,0.40069930069930065,0.40909090909090906,0.4613333333333333
54,2,SVM,0.46933177933177933,0.4818181818181818,0.43200000000000005
54,2,KNN,0.5466883116883118,0.5563636363636364,0.5619999999999999
54,2,RF,0.4661754911754912,0.4818181818181818,0.5413333333333334
