total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.7466666666666667,0.75,0.85
20,0,SVM,0.6333333333333334,0.65,0.75
20,0,KNN,0.74,0.75,0.775
20,0,RF,0.7933333333333333,0.8,0.9
20,0,XGB,0.6266666666666667,0.65,0.65
20,1,LOGIS,0.8933333333333333,0.9,0.95
20,1,SVM,0.6466666666666667,0.65,0.5
20,1,KNN,0.74,0.75,0.7
20,1,RF,0.64,0.65,0.775
20,1,XGB,0.7466666666666667,0.75,0.7
20,2,LOGIS,0.7,0.7,0.7
20,2,SVM,0.74,0.75,0.15
20,2,KNN,0.54,0.55,0.625
20,2,RF,0.6466666666666667,0.65,0.7
20,2,XGB,0.6333333333333334,0.65,0.65
20,3,LOGIS,0.8466666666666667,0.85,0.9
20,3,SVM,0.8466666666666667,0.85,0.7
20,3,KNN,0.7933333333333333,0.8,0.8
20,3,RF,0.8,0.8,0.875
20,3,XGB,0.8400000000000001,0.85,0.85
20,4,LOGIS,0.7466666666666667,0.75,0.75
20,4,SVM,0.74,0.75,0.35
20,4,KNN,0.5933333333333334,0.6,0.575
20,4,RF,0.5866666666666667,0.6,0.7
20,4,XGB,0.5866666666666667,0.6,0.6
109,0,LOGIS,0.9635987201204592,0.9636363636363636,0.9851239669421489
109,0,SVM,0.8900414078674949,0.8904761904761905,0.9636363636363636
109,0,KNN,0.7798608180530376,0.7805194805194806,0.8368181818181819
109,0,RF,0.8902277432712214,0.890909090909091,0.9338292011019285
109,0,XGB,0.9075842273668361,0.9077922077922078,0.9773553719008264
109,1,LOGIS,0.9166563146997928,0.9168831168831169,0.9598347107438017
109,1,SVM,0.8250697395663069,0.8259740259740258,0.9041046831955922
109,1,KNN,0.7451893748952573,0.7519480519480519,0.8062809917355371
109,1,RF,0.770399962356484,0.7709956709956709,0.8895661157024793
109,1,XGB,0.8061499202551834,0.8073593073593074,0.8932093663911844
109,2,LOGIS,0.8888641069075852,0.8891774891774892,0.9432644628099173
109,2,SVM,0.7517005458309807,0.7523809523809524,0.8787327823691461
109,2,KNN,0.7193513136479888,0.7246753246753247,0.8057093663911846
109,2,RF,0.7790673818934689,0.7796536796536796,0.8858608815426997
109,2,XGB,0.8151608368747956,0.8160173160173161,0.905482093663912
109,3,LOGIS,0.9811258581235698,0.9813852813852814,0.9983333333333334
109,3,SVM,0.926060606060606,0.9264069264069266,0.981473829201102
109,3,KNN,0.8597567916446633,0.8623376623376624,0.916659779614325
109,3,RF,0.8893515012828515,0.8900432900432902,0.9700550964187329
109,3,XGB,0.9256183938106135,0.925974025974026,0.970578512396694
109,4,LOGIS,0.9266618720714831,0.9272727272727274,0.9851239669421489
109,4,SVM,0.8312807273939324,0.8341991341991342,0.915495867768595
109,4,KNN,0.7012771748973121,0.7073593073593074,0.814111570247934
109,4,RF,0.8419927618783454,0.8437229437229437,0.9255922865013775
109,4,XGB,0.7956079981399674,0.7978354978354979,0.9053305785123966
199,0,LOGIS,0.9696803683962235,0.9697435897435897,0.9921566416040101
199,0,SVM,0.9493606423053838,0.9494871794871795,0.987719298245614
199,0,KNN,0.8537813577094706,0.853974358974359,0.9217098997493736
199,0,RF,0.914082086078235,0.9142307692307693,0.9694172932330826
199,0,XGB,0.8939268890667522,0.8941025641025642,0.9640802005012532
199,1,LOGIS,0.9497102169819129,0.9498717948717947,0.9837080200501254
199,1,SVM,0.919077149494351,0.9197435897435897,0.9786779448621553
199,1,KNN,0.839147302308481,0.8394871794871795,0.8951296992481204
199,1,RF,0.9045199466059544,0.9047435897435898,0.9630219298245614
199,1,XGB,0.9295986900782852,0.9297435897435898,0.9738358395989973
199,2,LOGIS,0.9294424146670618,0.9294871794871795,0.9797531328320803
199,2,SVM,0.9138116313391711,0.9142307692307693,0.968795739348371
199,2,KNN,0.8374934046468747,0.8388461538461538,0.8851046365914786
199,2,RF,0.8889575699501961,0.8893589743589743,0.9483978696741854
199,2,XGB,0.8782884352845842,0.8789743589743588,0.9458609022556391
199,3,LOGIS,0.9647702936585523,0.9648717948717949,0.9949636591478697
199,3,SVM,0.9292080241030893,0.9294871794871795,0.9831629072681703
199,3,KNN,0.8231538864897778,0.823974358974359,0.8695639097744362
199,3,RF,0.8685282527346523,0.8692307692307691,0.9598571428571429
199,3,XGB,0.9092318583589444,0.9093589743589743,0.965093984962406
199,4,LOGIS,0.9597683228038185,0.959871794871795,0.9887606516290728
199,4,SVM,0.8988628047155638,0.8996153846153847,0.9641203007518797
199,4,KNN,0.8391659118231647,0.8396153846153848,0.8801102756892231
199,4,RF,0.8693222449587198,0.8697435897435899,0.9345394736842106
199,4,XGB,0.8843766545820462,0.8844871794871796,0.9556278195488721
288,0,LOGIS,0.9582142453341653,0.9582577132486388,0.9949178981937603
288,0,SVM,0.9302086271403441,0.9304295220810648,0.9844827586206897
288,0,KNN,0.8465328024325235,0.8471264367816091,0.9239039408866996
288,0,RF,0.9130666618278195,0.9131276467029643,0.9710878489326765
288,0,XGB,0.9060707542399589,0.9063520871143377,0.9727011494252874
288,1,LOGIS,0.9549138950685432,0.9549909255898367,0.9920853858784893
288,1,SVM,0.9271037984002483,0.9272837265577737,0.9801477832512315
