source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,observed,20.0,0.556,0.20464603587658378,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,25.0,0.6066666666666667,0.22309409462531574,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,30.0,0.5808095238095239,0.06833864256792939,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,34.0,0.5872380952380951,0.07438077708655641,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,39.0,0.6173015873015874,0.08185268123923553,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,44.0,0.5916493506493508,0.07335356660001412,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,49.0,0.5832568542568543,0.05580193712679643,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,54.0,0.5187814407814407,0.0698021566980352,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,59.0,0.6203596403596403,0.05888341854796092,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,63.0,0.6050214785214785,0.04851736577963889,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,68.0,0.6096870808929633,0.05889925050910359,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,observed,73.0,0.5930782518135459,0.03112862745458028,,,5.0,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,20.0,0.556003351751152,,-1.1732396053457448e+57,1.1732396053457448e+57,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,20.535353535353536,0.5801477433402791,,-3.7979782660313743e+56,3.7979782660313743e+56,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,21.07070707070707,0.5880580257474809,,-1.2656836000756295e+56,1.2656836000756295e+56,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,21.606060606060606,0.5907245078883869,,-4.33583307603663e+55,4.33583307603663e+55,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,22.141414141414142,0.5916480128305658,,-1.5247885625426228e+55,1.5247885625426228e+55,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,22.67676767676768,0.5919762000323822,,-5.49778542254178e+54,5.49778542254178e+54,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,23.21212121212121,0.5920957239388157,,-2.0299907795686932e+54,2.0299907795686932e+54,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,23.747474747474747,0.5921402838702682,,-7.667823538587855e+53,7.667823538587855e+53,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,24.282828282828284,0.5921572714060002,,-2.95977524856589e+53,2.95977524856589e+53,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,24.81818181818182,0.5921638872093763,,-1.1662882491411224e+53,1.1662882491411224e+53,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
real,LOGIS,f1_score,fitted,25.353535353535353,0.592166516867765,,-4.6952956352102837e+52,4.6952956352102837e+52,,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-200
