total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.5466666666666666,0.55,0.6
20,0,SVM,0.5266666666666666,0.55,0.4
20,0,KNN,0.48,0.5,0.5
20,0,RF,0.6333333333333334,0.65,0.6
20,0,XGB,0.5866666666666667,0.6,0.6
20,1,LOGIS,0.5,0.5,0.45
20,1,SVM,0.5,0.5,0.55
20,1,KNN,0.64,0.65,0.55
20,1,RF,0.5800000000000001,0.6,0.6
20,1,XGB,0.5933333333333334,0.6,0.5
20,2,LOGIS,0.4866666666666667,0.5,0.55
20,2,SVM,0.54,0.55,0.45
20,2,KNN,0.4800000000000001,0.5,0.575
20,2,RF,0.42666666666666664,0.45,0.4
20,2,XGB,0.6933333333333334,0.7,0.75
20,3,LOGIS,0.12000000000000002,0.15,0.25
20,3,SVM,0.38,0.4,0.6
20,3,KNN,0.42666666666666664,0.45,0.5
20,3,RF,0.16,0.2,0.125
20,3,XGB,0.18,0.2,0.225
20,4,LOGIS,0.38,0.4,0.35
20,4,SVM,0.5,0.5,0.55
20,4,KNN,0.38,0.4,0.4
20,4,RF,0.44666666666666666,0.45,0.3
20,4,XGB,0.49333333333333335,0.5,0.35
25,0,LOGIS,0.6733333333333332,0.68,0.6666666666666666
25,0,SVM,0.6299999999999999,0.64,0.3
25,0,KNN,0.6733333333333332,0.68,0.6666666666666666
25,0,RF,0.5933333333333334,0.6,0.6
25,0,XGB,0.41571428571428565,0.44000000000000006,0.5333333333333333
25,1,LOGIS,0.5833333333333333,0.6,0.5333333333333334
25,1,SVM,0.4938095238095238,0.52,0.5
25,1,KNN,0.5533333333333333,0.5599999999999999,0.5333333333333334
25,1,RF,0.6333333333333334,0.64,0.4833333333333334
25,1,XGB,0.29714285714285715,0.32,0.33333333333333337
25,2,LOGIS,0.6257142857142857,0.64,0.7
25,2,SVM,0.5823809523809522,0.6,0.36666666666666664
25,2,KNN,0.6766666666666667,0.68,0.6833333333333333
25,2,RF,0.46333333333333326,0.48,0.5
25,2,XGB,0.51,0.52,0.4666666666666667
25,3,LOGIS,0.5533333333333333,0.56,0.5333333333333334
25,3,SVM,0.47095238095238096,0.52,0.36666666666666664
25,3,KNN,0.46333333333333326,0.48,0.5666666666666667
25,3,RF,0.4871428571428571,0.52,0.5166666666666667
25,3,XGB,0.4838095238095238,0.52,0.5666666666666667
25,4,LOGIS,0.5933333333333334,0.6,0.6
25,4,SVM,0.35428571428571426,0.4,0.35
25,4,KNN,0.4871428571428571,0.52,0.5333333333333333
25,4,RF,0.5533333333333333,0.5599999999999999,0.5333333333333333
25,4,XGB,0.5866666666666667,0.6,0.7
30,0,LOGIS,0.5497619047619048,0.5666666666666667,0.5916666666666668
30,0,SVM,0.375,0.4666666666666666,0.39722222222222225
30,0,KNN,0.48952380952380947,0.5,0.5458333333333333
30,0,RF,0.4609523809523809,0.4666666666666666,0.5597222222222223
30,0,XGB,0.3833333333333333,0.4,0.38888888888888895
30,1,LOGIS,0.6914285714285715,0.7000000000000001,0.725
30,1,SVM,0.5904761904761905,0.6,0.34444444444444444
30,1,KNN,0.5980952380952381,0.6333333333333334,0.6041666666666666
30,1,RF,0.660952380952381,0.6666666666666666,0.6986111111111112
30,1,XGB,0.6119047619047618,0.6333333333333334,0.7333333333333334
30,2,LOGIS,0.4526190476190476,0.4666666666666667,0.5611111111111112
30,2,SVM,0.4359523809523809,0.5,0.4611111111111111
30,2,KNN,0.4359523809523809,0.4666666666666667,0.6027777777777777
30,2,RF,0.4442857142857143,0.4666666666666667,0.43055555555555564
30,2,XGB,0.43047619047619046,0.4333333333333333,0.3833333333333333
30,3,LOGIS,0.7619047619047619,0.7666666666666667,0.7750000000000001
30,3,SVM,0.659047619047619,0.6666666666666667,0.4916666666666668
30,3,KNN,0.6304761904761904,0.6333333333333333,0.7027777777777778
30,3,RF,0.5135714285714286,0.5333333333333333,0.7277777777777779
30,3,XGB,0.5471428571428572,0.5666666666666667,0.611111111111111
30,4,LOGIS,0.5257142857142857,0.5333333333333333,0.5333333333333334
30,4,SVM,0.5693650793650794,0.6333333333333333,0.425
30,4,KNN,0.37,0.4,0.44305555555555554
30,4,RF,0.5192857142857144,0.5333333333333333,0.5958333333333334
30,4,XGB,0.4552380952380952,0.4666666666666666,0.5000000000000001
34,0,LOGIS,0.20634920634920634,0.2333333333333333,0.1388888888888889
34,0,SVM,0.31656565656565655,0.47142857142857136,0.7499999999999999
34,0,KNN,0.3095238095238095,0.319047619047619,0.31111111111111106
34,0,RF,0.33325396825396825,0.3571428571428571,0.21388888888888888
34,0,XGB,0.28047619047619043,0.2952380952380952,0.17222222222222222
34,1,LOGIS,0.6465079365079365,0.6523809523809525,0.65
34,1,SVM,0.535952380952381,0.5619047619047619,0.2833333333333333
34,1,KNN,0.695952380952381,0.7047619047619047,0.7166666666666668
34,1,RF,0.6155555555555555,0.6238095238095238,0.6055555555555555
34,1,XGB,0.5573809523809523,0.5666666666666667,0.6
34,2,LOGIS,0.43690476190476185,0.43809523809523815,0.4166666666666667
34,2,SVM,0.37666666666666665,0.43809523809523804,0.47777777777777775
34,2,KNN,0.4859523809523809,0.5,0.5444444444444445
34,2,RF,0.38365079365079363,0.41428571428571426,0.4222222222222222
34,2,XGB,0.30357142857142855,0.3190476190476191,0.34444444444444444
34,3,LOGIS,0.508095238095238,0.5285714285714286,0.7055555555555555
34,3,SVM,0.47714285714285715,0.5285714285714286,0.36111111111111116
34,3,KNN,0.4847619047619047,0.5,0.5555555555555556
34,3,RF,0.4614285714285714,0.4714285714285714,0.611111111111111
34,3,XGB,0.6738888888888889,0.680952380952381,0.7944444444444445
34,4,LOGIS,0.6440476190476191,0.6476190476190475,0.711111111111111
34,4,SVM,0.7296031746031745,0.7333333333333333,0.3666666666666666
34,4,KNN,0.6714285714285715,0.6761904761904762,0.6583333333333334
34,4,RF,0.6415079365079365,0.6476190476190475,0.7194444444444444
34,4,XGB,0.574047619047619,0.5857142857142857,0.6333333333333333
39,0,LOGIS,0.6952380952380952,0.6964285714285714,0.7375
39,0,SVM,0.7214285714285714,0.7214285714285714,0.45
39,0,KNN,0.6606349206349207,0.6714285714285715,0.70625
39,0,RF,0.6952380952380952,0.6964285714285714,0.6958333333333333
39,0,XGB,0.8165079365079364,0.8214285714285714,0.8625
39,1,LOGIS,0.4841269841269842,0.4892857142857142,0.5041666666666667
39,1,SVM,0.534920634920635,0.5392857142857143,0.3833333333333333
39,1,KNN,0.6055555555555555,0.6107142857142857,0.7291666666666666
39,1,RF,0.5031746031746032,0.5107142857142857,0.575
39,1,XGB,0.4984126984126984,0.5,0.5125
39,2,LOGIS,0.5314285714285715,0.5392857142857143,0.6
39,2,SVM,0.6095238095238095,0.6142857142857142,0.35
39,2,KNN,0.405050505050505,0.45714285714285713,0.48125
39,2,RF,0.4174603174603175,0.4321428571428571,0.4958333333333333
39,2,XGB,0.338015873015873,0.35357142857142854,0.3875
39,3,LOGIS,0.5611111111111111,0.5642857142857143,0.6291666666666667
39,3,SVM,0.5611111111111111,0.5642857142857143,0.36666666666666664
39,3,KNN,0.5463492063492064,0.5607142857142857,0.5270833333333333
39,3,RF,0.5538095238095238,0.5607142857142857,0.5083333333333333
39,3,XGB,0.5246031746031746,0.5392857142857143,0.5041666666666667
39,4,LOGIS,0.45634920634920634,0.4607142857142857,0.5291666666666666
39,4,SVM,0.577936507936508,0.5892857142857142,0.2333333333333333
39,4,KNN,0.45396825396825397,0.45714285714285713,0.49375
39,4,RF,0.5538095238095238,0.5607142857142857,0.5416666666666667
39,4,XGB,0.4920634920634921,0.5071428571428571,0.4916666666666667
44,0,LOGIS,0.5214502164502165,0.538888888888889,0.615
44,0,SVM,0.5126623376623376,0.5416666666666667,0.3675
44,0,KNN,0.39589466089466085,0.4111111111111111,0.44375
44,0,RF,0.5598701298701299,0.5666666666666667,0.635
44,0,XGB,0.5597835497835497,0.5666666666666667,0.5075
44,1,LOGIS,0.7761111111111111,0.7777777777777778,0.8099999999999999
44,1,SVM,0.755,0.7555555555555555,0.76
44,1,KNN,0.7538888888888888,0.7555555555555555,0.8100000000000002
44,1,RF,0.7761111111111111,0.7777777777777778,0.75
44,1,XGB,0.7478066378066378,0.7527777777777778,0.8075000000000001
44,2,LOGIS,0.5477777777777778,0.55,0.6225
44,2,SVM,0.5454761904761904,0.5472222222222223,0.38499999999999995
44,2,KNN,0.4408946608946609,0.45555555555555555,0.46374999999999994
44,2,RF,0.6372222222222221,0.638888888888889,0.64625
44,2,XGB,0.5221428571428571,0.525,0.525
44,3,LOGIS,0.6326551226551227,0.6361111111111111,0.73
44,3,SVM,0.6326984126984128,0.6361111111111112,0.78
44,3,KNN,0.7682034632034631,0.7722222222222221,0.7275
44,3,RF,0.6088888888888888,0.611111111111111,0.7
44,3,XGB,0.6427561327561327,0.6527777777777778,0.6575
44,4,LOGIS,0.40468253968253964,0.4083333333333334,0.41
44,4,SVM,0.4442857142857143,0.475,0.3525
44,4,KNN,0.3597924297924298,0.3916666666666667,0.42000000000000004
44,4,RF,0.5221428571428571,0.525,0.50625
44,4,XGB,0.38909812409812405,0.4027777777777778,0.33999999999999997
49,0,LOGIS,0.6265151515151515,0.6333333333333333,0.5706666666666667
49,0,SVM,0.6382750582750583,0.6555555555555556,0.523
49,0,KNN,0.5433333333333333,0.5555555555555556,0.6426666666666667
49,0,RF,0.5173232323232323,0.5311111111111112,0.5691666666666666
49,0,XGB,0.6622311022311023,0.6733333333333333,0.624
49,1,LOGIS,0.6554112554112554,0.6577777777777778,0.7156666666666667
49,1,SVM,0.671067821067821,0.6777777777777778,0.532
49,1,KNN,0.5395038295038295,0.5555555555555556,0.6051666666666666
49,1,RF,0.6445110445110445,0.6577777777777778,0.6980000000000001
49,1,XGB,0.5249206349206348,0.5333333333333333,0.5533333333333333
49,2,LOGIS,0.5089898989898989,0.5133333333333333,0.626
49,2,SVM,0.5456565656565656,0.5533333333333333,0.3795
49,2,KNN,0.4865367965367966,0.49333333333333335,0.5343333333333333
49,2,RF,0.523989898989899,0.5311111111111112,0.5418333333333333
49,2,XGB,0.38257575757575757,0.3911111111111111,0.42633333333333334
49,3,LOGIS,0.5422222222222223,0.5444444444444445,0.6063333333333334
49,3,SVM,0.5111904761904762,0.5466666666666666,0.316
49,3,KNN,0.5327417027417027,0.5511111111111111,0.5556666666666666
49,3,RF,0.4580558330558331,0.4666666666666667,0.45633333333333337
49,3,XGB,0.3111616161616162,0.32222222222222224,0.1943333333333333
49,4,LOGIS,0.46297979797979794,0.47111111111111115,0.495
49,4,SVM,0.5193833943833944,0.5488888888888889,0.43633333333333335
49,4,KNN,0.38582251082251084,0.40888888888888886,0.4468333333333333
49,4,RF,0.4456654456654457,0.4688888888888888,0.4963333333333333
49,4,XGB,0.4486957486957487,0.4666666666666667,0.44366666666666665
54,0,LOGIS,0.6614141414141413,0.6636363636363637,0.6773333333333335
54,0,SVM,0.6604584304584304,0.6636363636363637,0.4873333333333333
54,0,KNN,0.4957753357753358,0.5163636363636364,0.45999999999999996
54,0,RF,0.5673970473970473,0.5727272727272726,0.618
54,0,XGB,0.40867521367521364,0.4254545454545454,0.45600000000000007
54,1,LOGIS,0.49565656565656563,0.5,0.5666666666666667
54,1,SVM,0.5777905427905428,0.609090909090909,0.3993333333333333
54,1,KNN,0.5099134199134199,0.52,0.5226666666666667
54,1,RF,0.5958208458208458,0.6090909090909091,0.5733333333333334
54,1,XGB,0.5511033411033411,0.5581818181818182,0.536
54,2,LOGIS,0.5512121212121212,0.5527272727272727,0.544
54,2,SVM,0.4792707292707292,0.5,0.4373333333333333
54,2,KNN,0.5255400155400155,0.5381818181818182,0.5586666666666666
54,2,RF,0.5244660894660894,0.5363636363636364,0.558
54,2,XGB,0.3582900432900432,0.3654545454545455,0.39199999999999996
54,3,LOGIS,0.5597402597402598,0.5781818181818181,0.5786666666666667
54,3,SVM,0.5762948162948163,0.5963636363636363,0.366
54,3,KNN,0.4365367965367965,0.4618181818181818,0.506
54,3,RF,0.5726495726495726,0.5781818181818181,0.5953333333333334
54,3,XGB,0.4376923076923077,0.44727272727272727,0.3626666666666667
54,4,LOGIS,0.6613908313908314,0.6672727272727272,0.6613333333333334
54,4,SVM,0.681996891996892,0.6872727272727273,0.43800000000000006
54,4,KNN,0.43494394494394495,0.4618181818181818,0.5026666666666667
54,4,RF,0.662043512043512,0.6672727272727272,0.5913333333333333
54,4,XGB,0.523991563991564,0.54,0.5626666666666666
59,0,LOGIS,0.6243956043956043,0.6287878787878787,0.66
59,0,SVM,0.48492396492396495,0.4924242424242424,0.41126984126984123
59,0,KNN,0.5343900543900544,0.543939393939394,0.4871428571428572
59,0,RF,0.5542346542346542,0.5590909090909091,0.584126984126984
59,0,XGB,0.44825396825396824,0.4712121212121213,0.466984126984127
59,1,LOGIS,0.659067599067599,0.6606060606060605,0.6696825396825398
59,1,SVM,0.6371428571428571,0.6439393939393938,0.4220634920634921
59,1,KNN,0.578482350982351,0.593939393939394,0.5889682539682539
59,1,RF,0.6883916083916084,0.6924242424242424,0.7333333333333334
59,1,XGB,0.4914685314685315,0.49393939393939396,0.5155555555555555
59,2,LOGIS,0.6084848484848485,0.6106060606060606,0.5968253968253969
59,2,SVM,0.5377755577755579,0.543939393939394,0.4587301587301587
59,2,KNN,0.47619047619047616,0.4878787878787879,0.5462698412698412
59,2,RF,0.6079254079254078,0.6090909090909091,0.5667460317460318
59,2,XGB,0.42581418581418584,0.43939393939393945,0.4133333333333334
59,3,LOGIS,0.6429836829836829,0.6439393939393938,0.659047619047619
59,3,SVM,0.6071861471861472,0.6121212121212121,0.5247619047619048
59,3,KNN,0.5650993450993451,0.5772727272727273,0.5635714285714286
59,3,RF,0.6078654678654679,0.6121212121212121,0.6628571428571429
59,3,XGB,0.5238694638694639,0.5272727272727272,0.5760317460317461
59,4,LOGIS,0.6053013653013652,0.6090909090909091,0.6241269841269841
59,4,SVM,0.604115884115884,0.6090909090909091,0.48190476190476195
59,4,KNN,0.541025641025641,0.5424242424242424,0.5734126984126984
59,4,RF,0.6533433233433233,0.6575757575757575,0.6195238095238096
59,4,XGB,0.4869619269619269,0.49393939393939396,0.5528571428571428
63,0,LOGIS,0.5828504828504829,0.5846153846153846,0.6452380952380953
63,0,SVM,0.6434532134532135,0.6461538461538462,0.4087301587301587
63,0,KNN,0.5370304695304695,0.5525641025641026,0.5662698412698413
63,0,RF,0.6124941724941725,0.6166666666666667,0.7075396825396826
63,0,XGB,0.46779220779220776,0.47435897435897434,0.5253968253968255
63,1,LOGIS,0.5239260739260739,0.5256410256410258,0.5825396825396826
63,1,SVM,0.5667665667665668,0.573076923076923,0.4738095238095238
63,1,KNN,0.4048484848484849,0.4153846153846154,0.42738095238095236
63,1,RF,0.5206293706293705,0.5243589743589744,0.5246031746031747
63,1,XGB,0.4077677877677878,0.4166666666666667,0.4087301587301587
63,2,LOGIS,0.5656510156510156,0.5705128205128205,0.5428571428571428
63,2,SVM,0.5067209914268738,0.5230769230769231,0.5087301587301587
63,2,KNN,0.5016017316017316,0.5102564102564102,0.5
63,2,RF,0.4728299478299478,0.49230769230769234,0.5480158730158731
63,2,XGB,0.4977122877122877,0.5064102564102564,0.45476190476190476
63,3,LOGIS,0.6091774891774892,0.6153846153846154,0.6873015873015873
63,3,SVM,0.5941591741591742,0.6,0.4174603174603175
63,3,KNN,0.6113486513486512,0.6166666666666666,0.6492063492063492
63,3,RF,0.6196794871794872,0.6307692307692307,0.7011904761904761
63,3,XGB,0.6002763902763902,0.6064102564102564,0.6313492063492064
63,4,LOGIS,0.6125008325008324,0.6153846153846153,0.6158730158730159
63,4,SVM,0.5305361305361305,0.5358974358974359,0.3738095238095238
63,4,KNN,0.5014685314685314,0.5064102564102564,0.5134920634920636
63,4,RF,0.5005694305694306,0.5064102564102564,0.4583333333333333
63,4,XGB,0.3617990342990343,0.38461538461538464,0.4230158730158731
68,0,LOGIS,0.6594871794871795,0.6604395604395605,0.6972789115646258
68,0,SVM,0.6751373626373627,0.676923076923077,0.6170068027210884
68,0,KNN,0.6155128205128204,0.6175824175824176,0.6425170068027212
68,0,RF,0.6622710622710622,0.6626373626373626,0.6812925170068028
68,0,XGB,0.5768376068376069,0.5879120879120878,0.6265306122448979
68,1,LOGIS,0.571959706959707,0.5769230769230769,0.6782312925170068
68,1,SVM,0.6166666666666666,0.6197802197802198,0.6448979591836734
68,1,KNN,0.505841175508358,0.5296703296703298,0.5122448979591837
68,1,RF,0.642310238780827,0.6494505494505495,0.6636054421768707
68,1,XGB,0.4826465201465201,0.48901098901098894,0.5122448979591837
68,2,LOGIS,0.6153846153846153,0.6164835164835164,0.6428571428571429
68,2,SVM,0.5674908424908425,0.5725274725274725,0.2687074829931973
68,2,KNN,0.5302930402930403,0.5439560439560439,0.5156462585034014
68,2,RF,0.5371062271062271,0.5461538461538462,0.5962585034013606
68,2,XGB,0.5194272394272395,0.5263736263736263,0.5326530612244899
68,3,LOGIS,0.6293406593406593,0.6307692307692307,0.6346938775510204
68,3,SVM,0.6442890442890443,0.6461538461538462,0.4636054421768708
68,3,KNN,0.41142952077162603,0.4362637362637363,0.4823129251700681
68,3,RF,0.5523934398934398,0.5593406593406594,0.5299319727891156
68,3,XGB,0.44085685556273796,0.45714285714285713,0.48299319727891155
68,4,LOGIS,0.540091575091575,0.5428571428571429,0.617687074829932
68,4,SVM,0.586886446886447,0.5879120879120879,0.4336734693877552
68,4,KNN,0.48015900765900765,0.48571428571428577,0.5387755102040817
68,4,RF,0.5243956043956044,0.5263736263736264,0.6037414965986395
68,4,XGB,0.4644505494505495,0.46923076923076923,0.44557823129251706
73,0,LOGIS,0.6558150183150183,0.6571428571428571,0.6153061224489795
73,0,SVM,0.6386324786324786,0.6438095238095238,0.498469387755102
73,0,KNN,0.5277777777777778,0.5371428571428571,0.5683673469387756
73,0,RF,0.5831690368455075,0.5885714285714284,0.6053571428571429
73,0,XGB,0.528639546727782,0.5342857142857144,0.5357142857142857
73,1,LOGIS,0.6158241758241758,0.6161904761904762,0.6505102040816326
73,1,SVM,0.5832478632478633,0.5885714285714285,0.47602040816326535
73,1,KNN,0.5291666666666667,0.5333333333333333,0.5540816326530612
73,1,RF,0.5534741728859376,0.5599999999999999,0.614030612244898
73,1,XGB,0.5903468822199471,0.6028571428571429,0.6168367346938775
73,2,LOGIS,0.6111441499676793,0.6123809523809524,0.6438775510204081
73,2,SVM,0.5209514831573655,0.5323809523809524,0.498469387755102
73,2,KNN,0.5189965005754479,0.5342857142857143,0.5252551020408163
73,2,RF,0.5412567334626158,0.5457142857142856,0.5622448979591838
73,2,XGB,0.5030790777849601,0.5047619047619046,0.5438775510204081
73,3,LOGIS,0.5998190045248869,0.6019047619047619,0.5612244897959183
73,3,SVM,0.5808959977071433,0.5866666666666667,0.5114795918367346
73,3,KNN,0.460211161387632,0.4780952380952381,0.5318877551020409
73,3,RF,0.6210679542335888,0.6276190476190475,0.5663265306122448
73,3,XGB,0.5551587301587301,0.558095238095238,0.5448979591836735
73,4,LOGIS,0.5475716440422322,0.5504761904761905,0.601530612244898
73,4,SVM,0.5324315880198233,0.5352380952380952,0.40051020408163274
73,4,KNN,0.5546450118508941,0.5647619047619047,0.5599489795918366
73,4,RF,0.6172527472527473,0.6180952380952381,0.6168367346938776
73,4,XGB,0.5494047619047618,0.5504761904761905,0.508673469387755
