total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.4866666666666667,0.5,0.7
20,0,SVM,0.6466666666666667,0.65,0.35
20,0,KNN,0.5333333333333334,0.55,0.65
20,0,RF,0.6933333333333334,0.7,0.85
20,0,XGB,0.5933333333333334,0.6,0.575
20,1,LOGIS,0.8400000000000001,0.85,0.85
20,1,SVM,0.74,0.75,0.5
20,1,KNN,0.6866666666666668,0.7,0.8
20,1,RF,0.6333333333333334,0.65,0.85
20,1,XGB,0.5800000000000001,0.6,0.55
20,2,LOGIS,0.64,0.65,0.65
20,2,SVM,0.64,0.65,0.525
20,2,KNN,0.74,0.75,0.7
20,2,RF,0.6266666666666667,0.65,0.65
20,2,XGB,0.5333333333333334,0.55,0.65
20,3,LOGIS,0.5866666666666667,0.6,0.65
20,3,SVM,0.5866666666666667,0.6,0.25
20,3,KNN,0.4866666666666667,0.5,0.55
20,3,RF,0.54,0.55,0.55
20,3,XGB,0.54,0.55,0.7
20,4,LOGIS,0.54,0.55,0.55
20,4,SVM,0.44666666666666666,0.45,0.325
20,4,KNN,0.5333333333333334,0.55,0.55
20,4,RF,0.54,0.55,0.45
20,4,XGB,0.5866666666666667,0.6,0.45
109,0,LOGIS,0.8532966309053265,0.8536796536796537,0.9196969696969696
109,0,SVM,0.8161105827810633,0.8168831168831169,0.8916391184573002
109,0,KNN,0.7204278254163838,0.7259740259740259,0.8150550964187326
109,0,RF,0.7414035814173113,0.7437229437229437,0.8453168044077135
109,0,XGB,0.7693177862056582,0.7714285714285715,0.8457851239669422
109,1,LOGIS,0.8615086629617522,0.8623376623376624,0.9055096418732782
109,1,SVM,0.7949861694369703,0.7978354978354979,0.8904132231404958
109,1,KNN,0.7942883406956632,0.7978354978354979,0.8146143250688705
109,1,RF,0.7296414393601094,0.7337662337662337,0.792775482093664
109,1,XGB,0.6956838142787799,0.6978354978354979,0.7909504132231404
109,2,LOGIS,0.824944475814041,0.8255411255411256,0.9125344352617081
109,2,SVM,0.7153179391165662,0.716017316017316,0.796129476584022
109,2,KNN,0.7065923207227554,0.7082251082251082,0.7398347107438016
109,2,RF,0.6777421815408085,0.6796536796536796,0.745564738292011
109,2,XGB,0.6867451963241435,0.6891774891774892,0.732176308539945
109,3,LOGIS,0.9081441746659138,0.9082251082251084,0.972892561983471
109,3,SVM,0.8348484848484847,0.8354978354978355,0.9253443526170798
109,3,KNN,0.8069979296066252,0.8077922077922077,0.8658746556473828
109,3,RF,0.806419953044667,0.8077922077922077,0.9040633608815426
109,3,XGB,0.7600261424311767,0.7619047619047619,0.8744490358126722
109,4,LOGIS,0.84161020139281,0.8419913419913421,0.8824380165289256
109,4,SVM,0.8045218381923187,0.8056277056277057,0.8844077134986226
109,4,KNN,0.7259458657284744,0.7329004329004329,0.8217011019283745
109,4,RF,0.8123967819619994,0.8147186147186147,0.8443250688705234
109,4,XGB,0.7683907396950875,0.7692640692640693,0.8172727272727272
199,0,LOGIS,0.9094902969100659,0.9096153846153847,0.9670112781954886
199,0,SVM,0.8840667925869585,0.8844871794871796,0.9462769423558898
199,0,KNN,0.8123354827904427,0.813846153846154,0.9008872180451128
199,0,RF,0.7671334997907527,0.7684615384615385,0.8663947368421052
199,0,XGB,0.7535495353986562,0.754102564102564,0.8586804511278195
199,1,LOGIS,0.9047580693023569,0.9048717948717948,0.9559248120300751
199,1,SVM,0.8846388911170833,0.885,0.9654423558897243
199,1,KNN,0.8492055655085181,0.8493589743589745,0.9240889724310776
199,1,RF,0.8138234608067727,0.8143589743589743,0.9190426065162907
199,1,XGB,0.7938392914017597,0.7943589743589744,0.8818997493734336
199,2,LOGIS,0.8995864661654135,0.8997435897435897,0.9744298245614035
199,2,SVM,0.8330911591502093,0.834102564102564,0.9378258145363407
199,2,KNN,0.8235311481333513,0.824102564102564,0.8981478696741855
199,2,RF,0.7724715159664495,0.7738461538461537,0.8656503759398497
199,2,XGB,0.7683288352673671,0.7691025641025642,0.8637869674185463
199,3,LOGIS,0.8993985432624715,0.8994871794871795,0.973794486215539
199,3,SVM,0.8688917885117545,0.8691025641025641,0.9474486215538848
199,3,KNN,0.8488227124982656,0.849102564102564,0.902984962406015
199,3,RF,0.8072996178403337,0.808974358974359,0.8955783208020052
199,3,XGB,0.7441526529315652,0.7483333333333333,0.8476967418546366
199,4,LOGIS,0.8841510201394669,0.8842307692307692,0.9668934837092731
199,4,SVM,0.8694902498881959,0.8696153846153847,0.9459874686716793
199,4,KNN,0.8492795309098262,0.8494871794871794,0.9065645363408521
199,4,RF,0.7882440650619891,0.7893589743589744,0.8868408521303259
199,4,XGB,0.7209198962044088,0.7238461538461538,0.8344573934837094
288,0,LOGIS,0.9271890421553592,0.9272232304900181,0.982233169129721
288,0,SVM,0.9096573745426916,0.9098003629764065,0.9706814449917898
288,0,KNN,0.8678071584022067,0.8679975801572898,0.9311945812807881
288,0,RF,0.8047468425474008,0.8056261343012704,0.895919540229885
288,0,XGB,0.7843977309709859,0.78475499092559,0.8575697865353037
288,1,LOGIS,0.9129976189154341,0.9130671506352087,0.9716912972085385
288,1,SVM,0.8744866884191611,0.8748336358136722,0.9638669950738917
288,1,KNN,0.8887282434568557,0.8888687235329703,0.9548111658456484
288,1,RF,0.8191192103543715,0.8193587416817907,0.9050410509031199
288,1,XGB,0.7740875315838724,0.7743496672716274,0.8754433497536945
288,2,LOGIS,0.9583006463816544,0.9583182093163944,0.990336617405583
288,2,SVM,0.9132978038967149,0.9133696309739868,0.9738095238095239
288,2,KNN,0.8888412729927847,0.8890502117362372,0.9349671592775041
288,2,RF,0.7910249806938031,0.7917120387174833,0.8825287356321839
288,2,XGB,0.7880000410142832,0.7881427707199032,0.8900082101806241
288,3,LOGIS,0.9409488529326808,0.941016333938294,0.9801149425287357
288,3,SVM,0.9096061507204434,0.9099213551119177,0.9675697865353039
288,3,KNN,0.8504241856341702,0.8507562008469449,0.9317733990147785
288,3,RF,0.7738404589024178,0.7744706594071384,0.8852668308702791
288,3,XGB,0.7699919211380941,0.7712038717483363,0.8666666666666666
288,4,LOGIS,0.9546623425566331,0.9546884452510586,0.9953612479474548
288,4,SVM,0.9128372514241189,0.9130671506352087,0.973743842364532
288,4,KNN,0.8643770589536377,0.8644283121597096,0.9452339901477833
288,4,RF,0.8534264884376119,0.8540834845735027,0.9240394088669952
288,4,XGB,0.8290455064254856,0.8298850574712644,0.9113136288998358
377,0,LOGIS,0.9523537280840632,0.9524210526315791,0.9904538141380247
377,0,SVM,0.9416752293908932,0.9417192982456142,0.9834243150032623
377,0,KNN,0.9151096877727198,0.9151578947368423,0.9666960482749957
377,0,RF,0.8380787042102831,0.8382456140350877,0.9157033551770395
377,0,XGB,0.8031853457713473,0.8036842105263158,0.8883138198927671
377,1,LOGIS,0.9384555083321988,0.9388421052631578,0.9914957467589046
377,1,SVM,0.9362161727161726,0.9363157894736844,0.9835298861614652
377,1,KNN,0.9043782188020009,0.9045964912280702,0.9669492366860789
377,1,RF,0.8511075212819712,0.851298245614035,0.908499086130665
377,1,XGB,0.8130581597105465,0.8143157894736841,0.899689973374184
377,2,LOGIS,0.9549401725377894,0.9550526315789474,0.9934444566023514
377,2,SVM,0.9179589011018401,0.9180350877192982,0.9806460306460307
377,2,KNN,0.8994187151025514,0.8995438596491228,0.9564647643595012
377,2,RF,0.8647387694475682,0.864982456140351,0.9316663829821724
377,2,XGB,0.827059135091089,0.8278947368421052,0.9112928718191876
377,3,LOGIS,0.9494240349679928,0.9495087719298245,0.9857213488792436
377,3,SVM,0.912191908959862,0.912421052631579,0.9777362382625541
377,3,KNN,0.9018303647565549,0.9019298245614035,0.9511715156451999
377,3,RF,0.8352371129986921,0.8354736842105263,0.9095071792440214
377,3,XGB,0.8431840115655568,0.8436140350877194,0.9097232860390756
377,4,LOGIS,0.954827732565602,0.9548771929824562,0.986931060615271
377,4,SVM,0.9283984502477655,0.9284561403508771,0.9820891741944374
377,4,KNN,0.9123142351476886,0.9124912280701756,0.9547476626423995
377,4,RF,0.8429245628859008,0.8435087719298245,0.9154129838340366
377,4,XGB,0.8536593305197883,0.8541052631578948,0.9123749255328203
467,0,LOGIS,0.9592157260942384,0.9592770533058796,0.9944726247987118
467,0,SVM,0.9635840169497959,0.9636238846945779,0.992818035426731
467,0,KNN,0.9549767176257828,0.955044612216884,0.982764694041868
467,0,RF,0.8646625944688162,0.8649736902310684,0.9435869565217392
467,0,XGB,0.8581648415945897,0.8585678334477237,0.9531521739130435
467,1,LOGIS,0.9699748872395784,0.9700297414779226,0.9945873590982286
467,1,SVM,0.9528401009709213,0.9528940745824753,0.9931280193236715
467,1,KNN,0.9117793571465104,0.912125371768474,0.9751117149758454
467,1,RF,0.851728029726129,0.8521162205444979,0.9376036634460547
467,1,XGB,0.8411269475281239,0.8413864104323954,0.9236372785829309
467,2,LOGIS,0.9764143172390407,0.9764355982612674,0.997711352657005
467,2,SVM,0.9678336354213352,0.9678563257835735,0.9931702898550725
467,2,KNN,0.9420205017579137,0.9420956302905514,0.9808907004830919
467,2,RF,0.8518783666884737,0.8520247083047359,0.9333524557165862
467,2,XGB,0.8500618663052247,0.8501029512697323,0.9262701288244767
467,3,LOGIS,0.9592473764275449,0.9592999313658203,0.9942290660225442
467,3,SVM,0.9590993287598699,0.9591855410661175,0.9931803542673109
467,3,KNN,0.9142314188169613,0.9142759094028827,0.9684873188405797
467,3,RF,0.8754985892510323,0.875795012582933,0.9386564009661835
467,3,XGB,0.8329116395725794,0.8329901624342255,0.9118015297906602
467,4,LOGIS,0.9701181972589987,0.9701441317776253,0.9942894524959742
467,4,SVM,0.9506914159135805,0.9507664150080073,0.9906622383252819
467,4,KNN,0.9398937035975493,0.9400137268359643,0.9788597020933978
467,4,RF,0.8584234697777589,0.8586593456874857,0.9356572061191628
467,4,XGB,0.8393840389643838,0.839464653397392,0.9153824476650563
553,0,LOGIS,0.9674298381353251,0.9674529074529075,0.9954167608048772
553,0,SVM,0.9492127831882744,0.9492710892710893,0.9907194173413968
553,0,KNN,0.9420351192446524,0.9420802620802622,0.9787705089943588
553,0,RF,0.8657804085881166,0.8660933660933662,0.9393980671455019
553,0,XGB,0.858820311513481,0.8589352989352989,0.937154709800357
553,1,LOGIS,0.9746817788407978,0.9747256347256347,0.9977797393553764
