total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.4866666666666667,0.5,0.5
20,0,SVM,0.54,0.55,0.45
20,0,KNN,0.3333333333333333,0.4,0.55
20,0,RF,0.54,0.55,0.65
20,0,XGB,0.5266666666666667,0.55,0.65
20,1,LOGIS,0.5933333333333334,0.6,0.7
20,1,SVM,0.7933333333333333,0.8,0.4
20,1,KNN,0.7933333333333333,0.8,0.8
20,1,RF,0.6933333333333334,0.7,0.75
20,1,XGB,0.7933333333333333,0.8,0.725
20,2,LOGIS,0.8400000000000001,0.85,0.9
20,2,SVM,0.9,0.9,0.85
20,2,KNN,0.7333333333333334,0.75,0.775
20,2,RF,0.7866666666666667,0.8,0.825
20,2,XGB,0.7466666666666667,0.75,0.75
20,3,LOGIS,0.38,0.4,0.4
20,3,SVM,0.3333333333333333,0.4,0.475
20,3,KNN,0.27999999999999997,0.3,0.3
20,3,RF,0.4333333333333334,0.45,0.4
20,3,XGB,0.4866666666666667,0.5,0.55
20,4,LOGIS,0.7466666666666667,0.75,0.8
20,4,SVM,0.8466666666666667,0.85,0.25
20,4,KNN,0.8400000000000001,0.85,0.875
20,4,RF,0.7466666666666667,0.75,0.8
20,4,XGB,0.5800000000000001,0.6,0.6
109,0,LOGIS,0.8412641706119967,0.8437229437229437,0.9028099173553719
109,0,SVM,0.7395673241073698,0.741991341991342,0.8386088154269974
109,0,KNN,0.7204910751592675,0.7229437229437229,0.7864944903581268
109,0,RF,0.7138848108413325,0.7147186147186146,0.8118457300275482
109,0,XGB,0.7260690758516846,0.7329004329004329,0.7580991735537188
109,1,LOGIS,0.740872388481084,0.741991341991342,0.8103719008264463
109,1,SVM,0.7851999449825537,0.7883116883116884,0.8310743801652892
109,1,KNN,0.7385020143853096,0.7428571428571429,0.7982438016528925
109,1,RF,0.7105001944406979,0.7155844155844155,0.7862947658402204
109,1,XGB,0.7584170660257616,0.7610389610389611,0.7940082644628099
109,2,LOGIS,0.8522802318454492,0.8536796536796537,0.9355647382920111
109,2,SVM,0.7877345934004973,0.7891774891774892,0.8773002754820937
109,2,KNN,0.7753171390013496,0.78008658008658,0.8563429752066115
