total_size,draw,method,f1_score,accuracy,auc
20,0,LOGIS,0.8466666666666667,0.85,0.95
20,0,SVM,0.7933333333333333,0.8,0.475
20,0,KNN,0.74,0.75,0.8
20,0,RF,0.7933333333333333,0.8,0.85
20,0,XGB,0.74,0.75,0.8
20,1,LOGIS,0.8400000000000001,0.85,0.85
20,1,SVM,0.7466666666666667,0.75,0.5
20,1,KNN,0.64,0.65,0.75
20,1,RF,0.64,0.65,0.8
20,1,XGB,0.6866666666666668,0.7,0.7
20,2,LOGIS,0.74,0.75,0.8
20,2,SVM,0.6866666666666668,0.7,0.15
20,2,KNN,0.5000000000000001,0.55,0.575
20,2,RF,0.6933333333333334,0.7,0.75
20,2,XGB,0.7933333333333333,0.8,0.8
20,3,LOGIS,0.74,0.75,0.85
20,3,SVM,0.7933333333333333,0.8,0.9
20,3,KNN,0.7933333333333333,0.8,0.925
20,3,RF,0.7466666666666667,0.75,0.85
20,3,XGB,0.8466666666666667,0.85,0.85
20,4,LOGIS,0.9466666666666667,0.95,0.95
20,4,SVM,0.9,0.9,0.8
20,4,KNN,0.7933333333333333,0.8,0.825
20,4,RF,0.74,0.75,0.875
20,4,XGB,0.68,0.7,0.7
109,0,LOGIS,0.9721033017325922,0.9722943722943723,0.9966666666666667
109,0,SVM,0.9444701675136458,0.9445887445887446,0.9950413223140495
109,0,KNN,0.8606566416040099,0.8623376623376624,0.9197658402203859
109,0,RF,0.907839232468523,0.9082251082251084,0.9748622589531679
109,0,XGB,0.8258526256352343,0.8264069264069265,0.9526859504132231
109,1,LOGIS,0.9540749105966497,0.9541125541125541,0.9917355371900826
109,1,SVM,0.9436390977443608,0.9441558441558442,0.9824793388429752
109,1,KNN,0.7931770174357332,0.7974025974025973,0.8770179063360881
109,1,RF,0.8888998385291291,0.8891774891774892,0.959979338842975
109,1,XGB,0.880549595332204,0.880952380952381,0.9702479338842975
109,2,LOGIS,0.9539233954451346,0.9541125541125541,0.9768319559228649
109,2,SVM,0.8606943445570447,0.8614718614718615,0.9355096418732781
109,2,KNN,0.7505814437278968,0.7523809523809524,0.8415633608815428
109,2,RF,0.8877957938324069,0.8887445887445888,0.9405509641873279
109,2,XGB,0.8709947992510921,0.8714285714285716,0.9094214876033059
109,3,LOGIS,0.9817805383022774,0.9818181818181818,0.9983471074380166
109,3,SVM,0.8902167672144788,0.8904761904761905,0.9584986225895316
109,3,KNN,0.7988669301712781,0.7995670995670997,0.8558333333333333
109,3,RF,0.898567977915804,0.8991341991341992,0.9590082644628101
109,3,XGB,0.8711616161616161,0.8718614718614719,0.9503168044077135
109,4,LOGIS,0.9812792851694454,0.9813852813852814,0.9916666666666666
109,4,SVM,0.9254196360466382,0.925974025974026,0.9812121212121212
109,4,KNN,0.8532204027856203,0.8536796536796537,0.9086983471074379
109,4,RF,0.8967988533205924,0.8987012987012987,0.9680440771349861
109,4,XGB,0.8896216826651608,0.89004329004329,0.9579889807162534
199,0,LOGIS,0.9949968730456537,0.9949999999999999,1.0
199,0,SVM,0.9547524990579592,0.9548717948717949,0.9924636591478697
199,0,KNN,0.8490275815245216,0.8494871794871794,0.9168364661654135
199,0,RF,0.9145202336450806,0.9147435897435898,0.9839223057644111
199,0,XGB,0.9245372482471328,0.9246153846153847,0.9731541353383459
199,1,LOGIS,0.9848520189983605,0.9848717948717949,0.9989736842105262
199,1,SVM,0.9544204319428967,0.9544871794871795,0.9877067669172932
199,1,KNN,0.8837811679275094,0.8846153846153847,0.9374636591478696
199,1,RF,0.9191629242977125,0.9193589743589744,0.9787011278195488
199,1,XGB,0.89927445254788,0.8993589743589745,0.9598634085213031
199,2,LOGIS,0.9649968730456535,0.9649999999999999,0.9959949874686718
199,2,SVM,0.8996805569270266,0.8997435897435897,0.9698847117794488
199,2,KNN,0.8594794412863195,0.8597435897435897,0.9252838345864662
199,2,RF,0.8945478455362924,0.8947435897435898,0.9623865914786969
199,2,XGB,0.8795551966219488,0.8797435897435898,0.9503345864661655
199,3,LOGIS,0.9697305881965702,0.9697435897435899,0.9968934837092732
199,3,SVM,0.9388168724470484,0.9393589743589743,0.9824899749373432
199,3,KNN,0.8582298800569094,0.8588461538461539,0.9214273182957393
199,3,RF,0.9436506284809644,0.9442307692307692,0.9779323308270677
199,3,XGB,0.8724171634954689,0.8738461538461537,0.9624874686716792
199,4,LOGIS,0.9949968730456537,0.9949999999999999,0.9995
199,4,SVM,0.8989920025981407,0.8997435897435897,0.9869523809523809
199,4,KNN,0.8126724963480495,0.8138461538461538,0.90003320802005
199,4,RF,0.8993586708541779,0.8997435897435897,0.9716259398496241
199,4,XGB,0.9244939106598361,0.9248717948717949,0.9764335839598998
288,0,LOGIS,0.9895946763460376,0.9895946763460376,1.0
288,0,SVM,0.9443678662115399,0.9444646098003628,0.9934811165845648
288,0,KNN,0.8919749012884992,0.8922565033272838,0.9587274220032841
288,0,RF,0.947906489348736,0.948033877797943,0.9853119868637108
288,0,XGB,0.9374958288301505,0.937568058076225,0.9861001642036126
288,1,LOGIS,0.9826960739077382,0.9826981246218995,0.9995238095238095
288,1,SVM,0.9619387451680048,0.9619479733817302,0.9894334975369459
288,1,KNN,0.8680396027548649,0.8683000604960677,0.9358333333333334
288,1,RF,0.9410828721251207,0.9411373260738053,0.9820443349753696
288,1,XGB,0.9410059789199957,0.9411373260738051,0.9856239737274219
288,2,LOGIS,0.9861350995513994,0.9861464004839686,0.9992857142857143
288,2,SVM,0.9618768901692093,0.9618874773139744,0.994720853858785
288,2,KNN,0.8957053692815652,0.8959467634603749,0.9451600985221674
288,2,RF,0.9373665019736247,0.9374470659407137,0.9770484400656814
288,2,XGB,0.9303686100143965,0.9305505142165759,0.9788916256157636
288,3,LOGIS,0.9720999166531172,0.9721113127646703,0.9983169129720852
288,3,SVM,0.9512315927801931,0.9513006654567453,0.9915270935960592
288,3,KNN,0.88516871627185,0.8853599516031458,0.9253037766830869
288,3,RF,0.9057444407140931,0.9060496067755596,0.9705377668308703
288,3,XGB,0.9023944445529501,0.9026013309134907,0.9599220032840723
288,4,LOGIS,0.9895946763460376,0.9895946763460376,0.9983087027914614
