combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,status,title,html_relpath,png_relpath,points_relpath,seconds
fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,COAD | raw | offaug_none | CVAE1-50,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-50/points.csv,522.7
fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,COAD | raw | offaug_none | CVAE1-100,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-100/points.csv,378.7
fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,COAD | raw | offaug_none | CVAE1-200,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_none/CVAE1-200/points.csv,396.0
fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | raw | offaug_AE_head_2 | CVAE1-50,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-50/points.csv,507.3
fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | raw | offaug_AE_head_2 | CVAE1-100,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-100/points.csv,492.0
fivesubtypes_rna_cvae:COAD:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | raw | offaug_AE_head_2 | CVAE1-200,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/raw/offaug_AE_head_2/CVAE1-200/points.csv,540.1
fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,COAD | TC | offaug_none | CVAE1-50,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-50/points.csv,476.2
fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,COAD | TC | offaug_none | CVAE1-100,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-100/points.csv,390.3
fivesubtypes_rna_cvae:COAD:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,COAD | TC | offaug_none | CVAE1-200,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_none/CVAE1-200/points.csv,358.0
fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | TC | offaug_AE_head_2 | CVAE1-50,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-50/points.csv,521.2
fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | TC | offaug_AE_head_2 | CVAE1-100,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-100/points.csv,509.7
